id,article text
dn-001,"Byrådet i Aalborg har godkendt en treårig plan for at udvide havnepromenaden mellem Limfjordsbroen og den gamle toldbod. Projektet omfatter nye bænke, varmere belysning og et åbent belægningstæppe, der kan bruges til marked om sommeren og til skøjtebane i januar. Borgmesteren sagde efter mødet, at målet er at gøre havnen til et sted, hvor både beboere og weekendgæster har lyst til at blive hængende efter arbejde, ikke kun et sted man cykler igennem. Anlægsarbejdet forventes at starte til foråret, hvis de sidste miljøgodkendelser falder på plads. Flere handlende i Kvægtorvet har bedt om midlertidige parkeringspladser, mens kajkanten er spærret. Kommunen svarer, at en pendlerparkering ved Vesterbro åbner tre uger før første gravko ruller ind."
dn-002,"Aarhus Letbane og de kommunale buslinjer skifter køreplan i påskeugen. Linje 18 bliver omlagt uden om Nørrebrogade, mens sporarbejdet ved Banegårdspladsen står på. Passagerer mod Skejby skal i stedet skifte ved Nørreport, og rejsetiden stiger med omkring otte minutter i myldretiden. Midttrafik anbefaler at slå Rejseplanen op hver morgen i de tre uger, arbejdet varer, fordi enkelte afgange kan blive indkortet uden ekstra varsel. Skoler i Trøjborg har bedt om, at den tidlige morgenbus beholdes, så elever ikke møder for sent. Selskabet siger, at den afgang bliver kørt med ekstra vogn, men at eftermiddagens 10-minutters drift midlertidigt bliver til 15 minutter."
dn-003,"En folkeskole i Odense vandt regionens robotturnering med en maskine, der kan sortere pantflasker efter farve. Holdet fra sjette klasse byggede robotten af genbrugte kitdele og en billig kamera-modul, de havde fået af den lokale makerspace. Dommerne lagde vægt på, at eleverne selv havde skrevet styringskoden og kunne forklare, hvorfor den røde flaske blev fanget forkert i den første prototype. Premien er et besøg på et teknikmuseum og et lille tilskud til skolens naturfagsbod. Læreren siger, at næste skridt er at lade femte klasse kopiere banen, så flere elever prøver at fejlsøge et fysisk system, ikke kun en skærmøvelse."
dn-004,"Færgen mellem Hundested og Rørvig aflyser tre aftenafgange torsdag, fordi et lavtryk trækker kastevinde hen over Kattegat. Rederiet skriver, at bølgerne ved molehovedet allerede onsdag eftermiddag ramte den grænse, kaptajnen vil acceptere med personbiler på dækket. Lastbiler med åbne trailere bliver ikke taget med på de afgange, der stadig sejler. Passagerer med cykler kan i stedet bruge en ekstrabus via Frederiksværk, men den har kun plads til tolv cykler. En opdatering kommer klokken 16, når den seneste bølgeprognose er inde. Havnemesteren i Rørvig beder gæster om ikke at vente i biler på kajen, hvis afgangen er markeret som usikker, fordi opsamlingspladsen skal holdes fri for udrykning."
dn-005,"Københavns Kommune åbner et nyt stykke cykelsti langs søerne på den side, hvor fortovet hidtil har været smalt og ofte blokeret af stillads. Stien er tovejs og adskilt med en lav betonkant, så svingende bildøre ikke rammer styret. Teknik- og miljøforvaltningen siger, at tællinger fra sidste år viste flere næruheld her end på den parallelle strækning mod Østerbro. Butikkerne ved søerne mister otte parkeringspladser, men får længere afsætningslommer til varebiler om morgenen. En borgergruppe havde ønsket asfalt i rød farve hele vejen; kommunen svarer, at kun krydsene får rød markering i denne omgang, fordi budgettet skal række til tre andre manglende led i Indre Bys net."
dn-006,"Esbjerg får et besøgscenter ved den eksisterende havvindmølle, som skoleklasser kan booke fra august. Centeret ligger i en tidligere lagerhal og viser, hvordan et mølleblad bliver transporteret gennem byen, og hvorfor vedligehold om vinteren kræver vejr-vinduer på få timer. Energiselskabet bag projektet siger, at lokale lærlinge skal føre rundvisningerne, så besøget ikke kun er en udstilling med skilte. Kommunen betaler halvdelen af istandsættelsen, resten kommer fra en pulje til kystturisme. Naboerne har bedt om, at busser ikke holder i boliggaden; der anlægges i stedet en vendeplads bag hallen. Åbningstiden i første sæson bliver onsdag til søndag."
dn-007,"Roskilde Bibliotek forsøger søndagsåbent i tre måneder fra første weekend i marts. Forsøget gælder kun hovedbiblioteket, ikke de små lokale betjeningssteder. Der vil være reduceret personale og ingen skranke til indbundne bestillinger, men læsesal, aviser og den åbne værkstedskælder holder åbent. Kulturudvalget vil se på både besøgstal og støjniveau, før ordningen eventuelt gøres fast. En gruppe ældre læsere har allerede skrevet under på, at søndag formiddag er det tidspunkt, de kan komme uden at skulle bede om skærmtid i familien. Ungdomsskolen overvejer at flytte en tegneworkshop ind i kælderen de søndage, forsøget kører."
dn-008,"Aalborg Universitet åbner 40 ekstra kollegieværelser i en midlertidig pavillon ved campus øst, fordi ventelisten efter sommeroptaget er længere end de sidste fem år. Pavillonen er tænkt som en toårig løsning, mens en ældre kasernebygning renoveres. Værelserne er små, men har eget bad, og huslejen ligger under gennemsnittet for private udlejere i området. Studenterhuset advarer om, at den midlertidige adresse kan gøre det sværere at få folkeregistergodkendelse i en fart; universitetet siger, at en medarbejder i studieadministrationen får faste tider til at hjælpe med papiret. Naboforeningen ønsker en tydelig cykelrute uden om legepladsen, når de nye beboere kommer til august."
dn-009,"Viborg Museum åbner en vandreudstilling om marksten og de veje, de har flyttet sig ad siden sidste istid. Udstillingen er bygget, så børn kan røre ved prøver, og så voksne kan se kort over, hvor kommunen stadig sprænger sten væk, når der lægges fjernvarme. Museet har lånt en borekerne fra en nabokommune og viser den ved siden af en nutidig vejgennemskæring. Direktøren håber, at landmænd kigger forbi med egne fund i stedet for at køre stenene i en bunke bag laden. En lørdag i april bliver der en gratis vandretur til en gammel stendige uden for byen, hvis marken er tør nok."
dn-010,"Kolding midtby forsøger en tre måneders gågade på den strækning, hvor lastbiler i dag holder i dobbelt fil om morgenen. Forsøget betyder, at kun cykler, udrykning og morgenlevering før klokken 11 må køre ind. Handlende er delt: bageren forventer flere fodgæster, elektronikbutikken frygter, at kunder med tunge varer udebliver. Kommunen sætter tællere op i begge ender og interviewer forbipasserende hver anden uge. Hvis luftmålingen ved torvet falder mærkbart, vil teknikudvalget indstille en mere varig løsning efter sommeren. En app-baseret tidsbestilling til læssezonen bag husrækken bliver testet samtidig, så varebiler ikke kører rundt om kvarteret i blinde."
