id,body,summary
vk-001,"Stormen Nanna tvang i nat Færgeselskabet Vesterklit til at aflyse alle afgange mellem Havnepladsen og Mågeø. Direktør Lisbeth Holm sagde, at bølgerne ved Sølvdyp målte over fire meter, og at mandskabet ikke kunne sikre fortøjningen. Kommunen åbner midlertidigt et venteskur på kajen, hvor passagerer kan få kaffe og opdateringer hver halve time. Næste vurdering sker klokken 06.00, når beredskabet har nye tal for vinden. Skoleelever fra Nordmark, der skulle til svømmestævne, bliver kørt med bus via Brohuset i stedet. Fjordpressen følger ruten gennem natten og lægger nye tal på hjemmesiden, når Lisbeth Holm skriver igen.","Stormen Nanna tvang i nat Færgeselskabet Vesterklit til at aflyse alle afgange mellem Havnepladsen og Mågeø. Direktør Lisbeth Holm sagde, at bølgerne ved Sølvdyp målte over fire meter, og at mandskabet ikke kunne sikre fortøjningen. Kommunen åbner midlertidigt et venteskur på kajen, hvor passagerer kan få kaffe og opdateringer hver halve time. Skoleelever fra Nordmark, der skulle til svømmestævne, bliver kørt med bus via Brohuset i stedet."
vk-002,"Teknisk forvaltning har givet betinget godkendelse til en 87 meter høj testmast på Klitsand. Ingeniør Karsten Vang sagde, at masten skal måle vind i to år, før nogen taler om vindmøller. Naboerne på Rylevej har sendt 14 klager om støj og trækfugle, og klagerne følger med tilladelsen som vilkår. Miljøvurderingen kræver, at master og kabler tages ned, hvis fugletællingen falder med over ti procent. Borgmester Ellen Buhl understregede, at projektet ikke er en hemmelig møllepark, men et målepunkt. Høringen slutter den 3. maj, og Fjordpressen lægger rapporten i læsesalen på biblioteket.","Teknisk forvaltning har givet betinget godkendelse til en 87 meter høj testmast på Klitsand. Ingeniør Karsten Vang sagde, at masten skal måle vind i to år, før nogen taler om vindmøller. Naboerne på Rylevej har sendt 14 klager om støj og trækfugle, og klagerne følger med tilladelsen som vilkår. Miljøvurderingen kræver, at master og kabler tages ned, hvis fugletællingen falder med over ti procent. Høringen slutter den 3. maj, og Fjordpressen lægger rapporten i læsesalen på biblioteket."
vk-003,"Efterårsregnen har åbnet en lækage i taget over aulaen på Nordmark Skole. Lærer Amina Sørensen flyttede tre klasser ned i bibliotekets læsestue, fordi gulvet var vådt. Teknisk forvaltning skønner, at reparationen koster 1,2 millioner kroner og tager fire uger. Håndværkere fra Brohuset begynder mandag, hvis vinden holder sig under 15 meter. Forældre bad om midlertidig bus til Amberhus, men kommunen sagde nej på grund af budgettet. Skoleeleverne får gymnastik i havnens venteskur, indtil aulaen er tør.","Efterårsregnen har åbnet en lækage i taget over aulaen på Nordmark Skole. Lærer Amina Sørensen flyttede tre klasser ned i bibliotekets læsestue, fordi gulvet var vådt. Teknisk forvaltning skønner, at reparationen koster 1,2 millioner kroner og tager fire uger. Forældre bad om midlertidig bus til Amberhus, men kommunen sagde nej på grund af budgettet."
vk-004,"Byrådet vedtog i går udvidelsen af Stenmole med 17 stemmer for, fire imod og én blank. Projektet lægger 80 meter ny kaj til fiskere og en bredere sti til sommergæster. Borgmester Ellen Buhl sagde, at anlægsarbejdet skaber 25 lokale arbejdspladser i to sæsoner. Fiskeriforeningen pegede på, at kvoten allerede er presset, og at kajen ikke fanger flere torsk. Entreprenøren fra Klitsand skal være færdig inden 1. oktober, ellers falder kontrakten. Høringen om støj om natten fortsætter, fordi naboerne på Rylevej stadig er bekymrede.","Byrådet vedtog i går udvidelsen af Stenmole med 17 stemmer for, fire imod og én blank. Projektet lægger 80 meter ny kaj til fiskere og en bredere sti til sommergæster. Borgmester Ellen Buhl sagde, at anlægsarbejdet skaber 25 lokale arbejdspladser i to sæsoner. Entreprenøren fra Klitsand skal være færdig inden 1. oktober, ellers falder kontrakten."
vk-005,"Amberhus åbner lørdag en udstilling om rav og bronzealderfund fra gravhøje i omegnen. Museets formand Poul Nissen sagde, at 40 procent af fundene aldrig har været vist offentligt. Børn kommer gratis ind, mens voksne betaler 65 kroner, og billetter sælges også på biblioteket. Yasmin El-Khatib har skrevet teksterne på dansk og engelsk, så sommergæster kan læse med. Udstillingen varer til 15. september og flytter derefter et udvalg til læsesalen. Fjordpressen lægger et kort over gravhøjene ved Tangløb, men uden præcise koordinater.","Amberhus åbner lørdag en udstilling om rav og bronzealderfund fra gravhøje i omegnen. Museets formand Poul Nissen sagde, at 40 procent af fundene aldrig har været vist offentligt. Børn kommer gratis ind, mens voksne betaler 65 kroner, og billetter sælges også på biblioteket. Udstillingen varer til 15. september og flytter derefter et udvalg til læsesalen."
vk-006,"Kommunen prøver i juni, juli og august en natbus mellem Havnepladsen, Nordmark og Amberhus. Ruten kører fredag og lørdag efter klokken 22.00 og slutter klokken 01.30. Teknisk chef Henrik Straarup sagde, at forsøget koster 380.000 kroner og kræver mindst 12 passagerer pr. tur. Hvis tallet ligger lavere tre uger i træk, stopper busserne uden ny høring. Turister fra Mågeø kan købe billet sammen med færgen, men kun når færgen ikke er aflyst. Fjordpressen tæller passagerer de første to weekender og lægger tallene i arkivet.","Kommunen prøver i juni, juli og august en natbus mellem Havnepladsen, Nordmark og Amberhus. Ruten kører fredag og lørdag efter klokken 22.00 og slutter klokken 01.30. Teknisk chef Henrik Straarup sagde, at forsøget koster 380.000 kroner og kræver mindst 12 passagerer pr. tur. Turister fra Mågeø kan købe billet sammen med færgen, men kun når færgen ikke er aflyst."
vk-007,"Kommunen åbner et tilskud på 27.000 kroner til varmepumper i huse ældre end 1965. Fristen er 12. april, og ansøgningen skal vedlægge et energimærke ikke ældre end to år. Sofie Tranberg fra forvaltningen sagde, at der er penge til 60 husstande i første runde. Huse på Rylevej og omkring Tangløb får forrang, fordi de ligger i den kolde kystkile. Hvis ansøgere glemmer energimærket, bliver brevet lagt tilbage uden ny frist. Fjordpressen lægger skemaet i læsesalen og på hjemmesiden samme dag, som høringen slutter.","Kommunen åbner et tilskud på 27.000 kroner til varmepumper i huse ældre end 1965. Fristen er 12. april, og ansøgningen skal vedlægge et energimærke ikke ældre end to år. Sofie Tranberg fra forvaltningen sagde, at der er penge til 60 husstande i første runde. Hvis ansøgere glemmer energimærket, bliver brevet lagt tilbage uden ny frist."
vk-008,"Cykelstien langs Tangløb er udsat til næste forår, fordi en fredning af klitten kom i vejen. Naturstyrelsen kræver en omlægning 40 meter længere inde, væk fra de våde partier. Mikkel Ravn fra teknisk forvaltning sagde, at den nye linje koster 2,4 millioner ekstra. Byrådet udsatte beslutningen, indtil budgettet for næste år er klart i december. Skoleelever fra Nordmark cykler derfor stadig ad den smalle Rylevej i mørke. Fjordpressen har gået ruten med Ravn og lægger et kort uden at pege på redepladser.","Cykelstien langs Tangløb er udsat til næste forår, fordi en fredning af klitten kom i vejen. Naturstyrelsen kræver en omlægning 40 meter længere inde, væk fra de våde partier. Mikkel Ravn fra teknisk forvaltning sagde, at den nye linje koster 2,4 millioner ekstra. Skoleelever fra Nordmark cykler derfor stadig ad den smalle Rylevej i mørke."
vk-009,"Biblioteket scanner kirkebøgerne fra Vesterklit, Nordmark og Mågeø og lægger dem i et digitalt arkiv. Frivillige under Troels Kjær har allerede scannet 11.000 sider siden januar. Slægtsforskere kan læse med i læsesalen, men ikke tage billeder af de ældste bind fra 1784. Kommunen betaler 190.000 kroner, og restbeløbet kommer fra en fælles bevilling med Amberhus. Hvis en side er for våd eller sort, bliver den stående i det fysiske arkiv under lås. Fjordpressen får ikke navne fra levende personer med i artiklen, kun årstal og sogn.","Biblioteket scanner kirkebøgerne fra Vesterklit, Nordmark og Mågeø og lægger dem i et digitalt arkiv. Frivillige under Troels Kjær har allerede scannet 11.000 sider siden januar. Slægtsforskere kan læse med i læsesalen, men ikke tage billeder af de ældste bind fra 1784. Hvis en side er for våd eller sort, bliver den stående i det fysiske arkiv under lås."
vk-010,"Fiskeriforeningen holdt møde i Brohuset om en ventet lavere kvote på torsk og rødspætte. Formand Mikkel Ravn læste et brev fra ministeriet, der peger på 18 procent færre ton i den kommende sæson. Medlemmerne var uenige: nogle vil fiske hårdere først på året, andre vil holde bådene i havnen. Aftalen med kommunen om kajplads på Stenmole gælder kun, hvis mindst 20 både betaler afgift. Ellen Buhl lovede ikke nye penge, men bad om tal for fangst pr. uge inden 1. marts. Fjordpressen sad med som presse, men uden båndoptager, efter et krav fra bestyrelsen.","Fiskeriforeningen holdt møde i Brohuset om en ventet lavere kvote på torsk og rødspætte. Formand Mikkel Ravn læste et brev fra ministeriet, der peger på 18 procent færre ton i den kommende sæson. Medlemmerne var uenige: nogle vil fiske hårdere først på året, andre vil holde bådene i havnen. Aftalen med kommunen om kajplads på Stenmole gælder kun, hvis mindst 20 både betaler afgift. Fjordpressen sad med som presse, men uden båndoptager, efter et krav fra bestyrelsen."
