id,article text
sample-001,"Granebæk Kommune åbner onsdag den nye cykelsti mellem stationspladsen og folkeskolen i Sønderkvarteret. Stien er 1,8 kilometer lang, belyst hele vejen og adskilt fra både gangsti og bilbane med en lav granitkant. Teknisk forvaltning oplyser, at anlægget har kostet 14,6 millioner kroner, hvoraf 4 millioner kommer fra en statslig pulje til skoleveje. Borgmester Line Hald kalder projektet et hverdagsstykke klimapolitik, fordi det erstatter korte bilrejser uden at kræve nye buslinjer. Forældrene ved Sønderskolen har i tre år klaget over utrygge kryds ved Industrivej. Det farligste punkt, en umarkeret venstresvingbane, er nu afløst af et hævet felt med rød asfalt og automatisk cykelsignal. En tæller ved skolen viste i testdugen 212 passager mellem klokken syv og ni. Forvaltningen forventer, at tallet stiger, når vinterbelysningen er justeret, og når S-togspendlerne opdager den direkte genvej til perron 2. Butiksforeningen på Stationsvej er mere forbeholden. Formand Karim Dinesen frygter, at fjernelsen af 18 parkeringspladser rammer kunder, der handler tungt. Kommunen svarer, at der åbner 12 nye pladser bag hallen i april, og at varelevering fortsat må køre ad baggaden mellem 06 og 11. Stien indvies med morgenbrød og en kort tale; den er åben for almindelig trafik straks derefter."
sample-002,"Østerhavn Byråd vedtog i aftes næste års budget med 21 stemmer mod 6. Kernen er en stigning i dækningsafgiften på 0,4 procentpoint, som skal finansiere tre nye vuggestuegrupper og en natåben sygeplejeklinik ved havnen. Socialdemokratiet, De Radikale og SF stemte for. Venstre, Konservative og Dansk Folkeparti stemte imod og kaldte aftalen en skatteforhøjelse i forkledning. Borgmester Pia Kruse sagde fra talerstolen, at kommunen ikke kan blive ved med at sende småbørn 18 kilometer til Nabekøbing, når forældrene arbejder på kajen. Oppositionen pegede på, at kassebeholdningen allerede er 112 millioner, og at klinikken kunne være en satellit under regionshospitalet i stedet for en kommunal drift. Budgettet rummer også et loft over konsulentydelser på 9 millioner og en pulje på 2 millioner til istandsættelse af tre ældre boligblokke i Mølleparken. Skatteprocenten for personlig indkomst er uændret. Ejendomsselskabet Havnekanten advarede i et høringssvar om, at højere dækningsafgift vil blive lagt oven i huslejen i de nye ungdomsboliger. Forvaltningen vurderer merudgiften til 38 kroner om måneden for en typisk ungdomslejlighed. Aftalen træder i kraft 1. januar, men vuggestuegrupperne åbner først i august, når en pavillon på Skolemarken er godkendt af brandmyndigheden."
sample-003,"DMI har udsendt varsel om forhøjet vandstand i Kattegat fra onsdag aften til torsdag formiddag. I Lindefjord Kommune forventes 120 til 140 centimeter over daglig vande ved molehovedet. Beredskabet lukker promenaden ved Skansevej fra klokken 20 og sætter mobile barrierer op foran de lavest liggende huse i Fiskerkvarteret. Indbyggerne i kælderlejlighederne på Strandgade 4-18 får sms, hvis pumperne ved slusen ikke kan følge med. Færgen til Øen aflyses fra sidste turtorsdag; første mulige afgang er fredag klokken 10, hvis bølgerne er under to meter. Kommunen åbner varmestue i sportscentret og beder folk flytte biler væk fra kajkanten. Varslet nedjusteres, hvis vinden drejer mere vestligt end meldt."
sample-004,"IF Granebæk rykker op i 2. division efter 2-1 i den afgørende kamp mod Holme BK på et udsolgt Stadion Vest. Målscorerne var Kantemir Holm i det 17. minut og indskiftede Maya Kragh tre minutter før tid. Holme udlignede kort før pausen på et tvivlsomt straffespark, som dommeren efter kampen medgav kunne være trukket tilbage. Træner Søren Pihl pegede på et omlagt presspil efter vinterpausen som forklaringen: holdet vinder nu flere dueller i anden bold, og gennemsnittet af forventede mål er steget fra 1,1 til 1,6 per kamp. Klubben har 1.240 medlemmer og et budget på 4,8 millioner. Formand Elise Mortensen sagde i hallen, at oprykningen kræver lys på træningsbanen og en ny keepertræner, men at entrépriserne på hjemmekampe bliver holdt i 60 kroner for voksne. Kommunen har tidligere lovet at medfinansiere lysanlægget, hvis klubben selv skaffer 400.000. En indsamling startede allerede i aften ved pølsevognen. Holme BK forbliver i rækken og møder Granebæk igen i pokalen i september."
sample-005,"Hovedbiblioteket i Nabekøbing lukker i 11 uger fra 3. marts, mens den gamle avislæsesal bygges om til et åbent værksted med 3D-printere, symaskiner og to studieceller. Udlån flytter midlertidigt til en pavillon på Torvet, hvor reserverede bøger kan hentes mellem 10 og 18 på hverdage. Digital adgang til e-bøger og aviser er uændret. Biblioteksleder Astrid Fenger siger, at ombygningen svarer på en stigning i unge brugere, der kommer for at lave lektier, ikke for at låne romaner. Sidste år var der 186.000 besøg og kun 91.000 fysiske udlån. Kritikere i byrådet kalder værkstedet en glidebane mod at gøre biblioteket til et medborgerhus uden bøger. Fenger svarer, at fag- og skønlitteraturen får nye reoler langs facaden, og at fjernlånet udvides med en daglig rute til Granebæk. Anlægsbudgettet er 7,1 millioner, heraf 1,5 millioner fra en kulturarvspulje, fordi facadens terrazzogulv bevares. Under lukningen kører en bogbus lørdage til de tre landsbyer vest for fjorden."
sample-006,"Granebæk Fjernvarme varsler en prisstigning på 11 procent fra 1. april efter et underskud på 18 millioner i det milde, men dyrere år. Bestyrelsen peger på tre årsager: den forlængede servicekontrakt på fliskedlen, et efterslæb på rørene under Industrivej, og at kommunen har udskudt tilslutningen af det nye boligfelt Moseengen, som skulle have bidraget med faste afgifter. En typisk parcelhus-kunde på 18 MWh kommer til at betale cirka 2.400 kroner mere om året. Lejerforeningen i Mølleparken kalder stigningen uacceptabel, fordi varmen allerede er bundet i huslejen, og beboerne ikke kan skifte selskab. Direktør Tomas Vinge inviterer til åbent hus 12. marts, hvor regnskabet gennemgås linje for linje. Han afviser at åbne for individuelle varmepumper i det gamle ledningsnet, men åbner for et frivilligt spareprogram, hvor kunder med nat-sænkning får et engangstilskud på 800 kroner til en ny termostat. Byrådet diskuterer onsdag, om kommunen som hovedaktionær skal indskyde 5 millioner for at dæmpe stigningen til 7 procent. En beslutning kræver, at oppositionen stemmer med, fordi budgetloven allerede er presset af vuggestueaftalen."
sample-007,"Havnefestivalen i Østerhavn vender tilbage i fire dage i juli med et budget på 6,3 millioner og et loft på 9.000 gæster om dagen. Programmet lægger vægt på lokale navne: korene fra Sønderskolen åbner torsdag, mens hovednavnet lørdag er folkduoen Salt og Gran, der spiller fra en pram i bassinet. Nyt i år er en stille zone på den indre kaj mellem 21 og 01, efter naboerne i Strandgade sidste år indsamlede 640 underskrifter om nattesøvn. Lydmålerne flyttes tættere på facaderne, og basscenen rykker 80 meter ud på moloen. Madboderne skal bruge genbrugsservice; engangsservice i plastik er forbudt, også til takeaway. Kommunen lægger 1,1 million i puljen, resten kommer fra billet- og boder. Et klippekort til alle fire dage koster 320 kroner, og under 18 år kommer gratis ind før klokken 16. Beredskabet kræver en ekstra slæbested-adgang holdt fri til båd, hvis vinden frisker. Festivalleder Naja Olsson siger, at de hellere aflyser pramkoncerten end flytter den ind i en hal, fordi hele pointen er vandet. Billetsalget åbner 1. april klokken 10."
sample-008,"Regionshospitalet Nabekøbing nedbringer ventetiden til almindelig knæudredning fra 14 til 9 uger, viser tal for første kvartal. Forklaringen er ikke flere operationsstuer, men en omlagt visitation: praktiserende læger sender nu røntgen og spørgeskema ind før første møde, så en tredjedel af patienterne går direkte til fysioterapi. Ortopædkirurg Hanne Bjerre understreger, at de akutte menisk-skader stadig tages ind inden for 72 timer. Patientforeningen Fjordled sagde på et møde i går, at tallet dækker over store forskelle: borgere uden digital post venter i gennemsnit tre uger længere, fordi indkaldelsen sendes som brev. Hospitalet svarer med en forsøgsordning, hvor biblioteket i Granebæk hjælper med at udfylde skemaet. Sygeplejerskernes fællestillidsrepræsentant advarer om, at den kortere kø er købt med overarbejde i ambulatoriet om torsdagen. Regionens direktion vil først åbne en lørdagsvagt, hvis næste kvartal viser, at 9-ugers målet holder uden merarbejde over 6 procent."
sample-009,"Byrådet i Lindefjord sender et forslag om at sammenlægge Østerskolen og Vesterskolen i høring indtil 2. maj. Elevtallet på Vesterskolen er faldet til 148, og der mangler to linjefagslærere i fysik og tysk. Østerskolen har 412 elever og en ny hal, men slår i øjeblikket tre klasser op i midlertidige pavilloner. Forvaltningens model samler 0.-6. klasse på Østerskolens matrikel og placerer en udskolingslinje med valgfag i det gamle Vesterskole-byggeri, som så får navnet Fjordskolen campus vest. Forældre i vestdistriktet frygter længere skoleveje ad en vej uden cykelsti. Teknikudvalget har derfor fremskyndet et sti-projekt, som tidligst er færdigt om 16 måneder — efter den planlagte sammenlægning i august næste år. Lærerforeningen kræver, at ingen medarbejder flyttes uden dialog, og at de to faglokaler i fysik bevares, så undervisningen ikke kun kører som fælles hold. Borgmesteren siger, at alternativet er at lukke Vesterskolen helt om to år, når årgang 2019 er gået ud. Høringsmødet er 11. april i hallen; der er tegnsprogstolk og direkte stream."
sample-010,"Østerhavn Havn fremlægger en tiårsplan, der flytter containertrafikken 200 meter mod nord og åbner den indre kaj til boliger, badeland og et fisketorv. Planen er den største fysiske ændring af byen siden jernbanens ankomst i 1908, og den splitter byrådet på tværs af de sædvanlige blokke. Tilhængerne, anført af borgmester Pia Kruse og Venstres gruppeformand Mikkel Rye, siger, at kajen i dag er et hegn mod vandet: lastbiler, tomme skure og et hegn med tre huller. De vil have en promenade i niveau med vandet, 420 boliger med krav om 25 procent almene, og et bræt til joller, så sejlklubben ikke presses ud til molerne. Modstanderne, en alliance mellem SF, en løsgænger og Fiskeriforeningen, kalder planen en forskydning af støj, ikke en løsning. Containerpladsen rykker tættere på fuglereservatet Saltholm Enge, hvor en ynglebestand af klyder allerede er i tilbagegang. En screening fra rådgiverfirmaet Bølge & Bund vurderer, at pælearbejdet i bassinet kan sløre vandet i to sæsoner og ramme ålegræsset, som kommunen ellers har brugt tre år på at plante. Havnedirektør Eva Solvang svarer, at gravearbejdet lægges i vinterhalvåret, og at der afsættes 12 millioner til at flytte ålegræsset midlertidigt. Prisen for hele planen er anslået til 1,4 milliarder 2023-kroner. Staten har i et indledende brev sagt, at en pulje til blandede by- og havnemiljøer kan dække op til 180 millioner, hvis kommunen binder sig til de almene boliger og til at bevare kajens kran som monument. Kranen er i dag rusten og uden certifikat; bevaringsforeningen vil have den malet og gjort til udsigtspunkt, mens arbejdsmiljøtilsynet kræver, at den enten sikres eller skæres ned inden fem år. I den sydlige ende af kajen ligger tre aktive fiskeauktioner. Planen lover dem nye haller ved den nordlige plads, men fiskerne peger på, at lastbilerne så skal køre gennem et kommende boligkvarter før klokken fem om morgenen. Teknisk forvaltning skitserer en tunnel under Stationsvej til tung trafik; den alene koster 310 millioner og er ikke med i de 1,4 milliarder. En borgergruppe, Kajens Venner, har på tre uger samlet 2.100 underskrifter for at sende hele planen til bindende folkeafstemning. Juridisk afdeling vurderer, at kommunalfuldmagten ikke tvinger byrådet til afstemning, men at et vejledende valg er politisk muligt. Første officielle borgermøde er 19. april i Mølleparkens hal. Dagsordenen er delt i tre: natur og ålegræs, boliger og støj, og finansiering. Hver blok får 40 minutter, og der er tegnsprogstolk. Havnen publicerer samtidig et åbent datarum med vanddybder, støjberegninger og de fulde rådgiverbilag, så høringssvar ikke skal bygge på slides alene. Hvis byrådet vedtager plangrundlaget i juni, kan det første pælefelt tidligst rammes i vinteren to år senere. Indtil da fortsætter containerne, hvor de er, og fisketorvet bliver liggende i den midlertidige telthal, som allerede har overlevet tre budgetter, der lovede den noget fast."
