id,article text
dn-001,"Biblioteket i Nordhavn udvider åbningstiderne fra næste mandag. Borgere kan fremover låne bøger og bruge læsesalen helt til klokken 21 på hverdage. Kommunen forventer, at ændringen især hjælper studerende og skifteholdsarbejdere. Der kommer samtidig tre nye studiepladser med stikkontakter og bedre belysning. Bibliotekslederen siger, at huset skal være et åbent sted, ikke kun en reol i dagtimerne."
dn-002,"Aarhus Cykelfestival samlede lørdag mere end 2.400 ryttere på en rute fra Dokk1 til Marselisborgskovene. Eliteløbet blev vundet af Maja Vestergaard, der kørte de 84 kilometer på 2 timer og 11 minutter. Politiet lukkede midlertidigt en del af Strandvejen, men bustrafikken kørte efter en omlagt køreplan. Arrangørerne vurderer, at festivalen bliver årlig, hvis kommunen godkender en ny tilladelse i januar."
dn-003,"DMI har udsendt et gult varsel for vestjyske kommuner natten til torsdag. Der ventes kastevinde op til 22 meter i sekundet og lokale skybrud. Beredskabet i Ringkøbing-Skjern anbefaler, at campingvogne rebes, og at løse havemøbler tages ind. Færgen til Fanø holder fast i sejlplanen, men kan indstille afgange med en times varsel. Varslet gælder til torsdag formiddag klokken 11."
dn-004,"Sct. Hans Skole i Roskilde lukker sit køkken i tre uger fra 7. oktober, mens ventilationsanlægget skiftes. Eleverne får i perioden mad fra et midlertidigt teltkøkken på boldbanen. Forældrebestyrelsen har bedt om, at allergivenlige retter stadig kan vælges. Entreprenøren lover, at støjende arbejde ligger uden for skoledagen. Rektor Mette Krogh siger, at ingen undervisning flyttes, men at idræt i 3. og 4. time rykker ind i hallen."
dn-005,"Bageriet Havnekringle i Horsens fylder 40 år onsdag og deler 800 gratis tebirkes ud fra klokken 7. Grundlæggeren Jørgen Holm står stadig i butikken to morgener om ugen. Sønnen Line Holm fortæller, at de holder fast i surdej fra 1986, men at økologisk mel nu udgør 70 procent af indkøbet. Kommunen har givet tilladelse til bordopstilling på fortovet frem til lørdag."
dn-006,"Havneudvidelsen i Frederikshavn går nu ind i anden etape, efter byrådet tirsdag aften vedtog anlægsloven med 21 stemmer for og fire imod. Etapen omfatter 340 meter ny kaj, et landstrømsanlæg til færger og en offentlig promenade, der skal binde bymidten sammen med kyststien mod nord. Prisen er sat til 187 millioner kroner, hvoraf staten dækker 60 millioner gennem en pulje til grønne havne. Resten finansieres af kommunen og et lån i KommuneKredit. Entreprenøren Arctic Quay A/S har 28 måneder til at færdiggøre arbejdet. I den periode lukkes Pakhusvej for gennemkørende trafik, og lastbiler henvises til en midlertidig rute via Enghavevej. Fiskerne på den gamle mole beholder deres pladser, men skal flytte isværket i otte uger næste vinter. Miljøvurderingen kræver, at opgravet sediment testes for tributyltin, før det må dumpes på det anviste klappladsområde 11 kilometer til havs. En gruppe beboere på Havnegade har indsamlet 612 underskrifter, fordi de frygter støj om natten, når spunsvægge rammes. Projektlederen Inge Buhl siger, at ramning kun sker mellem klokken 7 og 18, og at der opsættes støjskærme ud for de nærmeste facader. Hun understreger, at landstrømmen skal gøre det muligt for Oslo-færgen at slukke hjælpegeneratorerne i havn, hvilket ifølge kommunens regnestykke skærer 1.200 ton CO2 om året. Kulturudvalget har samtidig sat 2,5 millioner kroner af til belysning og bænke på promenaden, så den kan bruges om vinteren. Hvis tidsplanen holder, åbner kajen officielt i marts 2027 med en åben-havn-dag, hvor skoleskibet Georg Stage ligger til. Indtil da kan nysgerrige følge byggeriet fra en udsigtsplatform ved det gamle toldkammer, som åbner hver lørdag formiddag."
dn-007,"Regionshospitalet i Viborg nedbringer den gennemsnitlige ventetid til knæoperationer fra 19 til 12 uger. Direktionen har flyttet to operationslejer fra aftenberedskabet til dagprogrammet og ansat tre ekstra fysioterapeuter til det tidlige genoptræningsforløb. Patientforeningen advarer om, at rygpatienter kan blive ramt, fordi de samme stuer bruges om torsdagen. Hospitalet svarer, at rygsporet får to ekstra dage om måneden fra februar. Ændringen træder i kraft 1. november."
dn-008,"Struer Havnefestival slår dørene op fredag med tre scener og et forventet besøg på 14.000 gæster. Hovednavnet er et gensyn med gruppen Havbrise, som ikke har spillet i byen siden 2018. Kommunen indfører i år et røgfrit område foran familieplænen og flere vandposter. DSB sætter en ekstra vogn på toget fra Holstebro lørdag eftermiddag. Festivalen slutter søndag klokken 22."
dn-009,"Færgen mellem Hundested og Rørvig indstiller to aftenture fra mandag, fordi et gear i hovedmaskinen skal skiftes. Rejsende efter klokken 20 henvises til en bus via Frederiksværk, som kører 35 minutter længere. Rederiet betaler ikke kompensation for den omlagte rute, men ærebilletter kan bruges i 14 dage efter reparationen. Arbejdet forventes færdigt torsdag, hvis reservedelen ankommer fra Tyskland som planlagt."
dn-010,"Tre nye vindmøller ved Tjele stod klar til nettilslutning i morges efter to års klagesager. Hver mølle er 149 meter høj og skal levere strøm svarende til 6.400 husstande. En nabogruppe tabte den sidste sag i Planklagenævnet, fordi skyggekast holder sig under 10 timer om året. Kommunen kræver, at servicevejen holdes åben for landbrugskørsel i høsten. Selskabet Vindøst A/S åbner et formidlingsrum i det gamle mejeri i Ørum til oktober."
