id,body,translated
vk-001,"Stormen Nanna tvang i nat Færgeselskabet Vesterklit til at aflyse alle afgange mellem Havnepladsen og Mågeø. Direktør Lisbeth Holm sagde, at bølgerne ved Sølvdyp målte over fire meter, og at mandskabet ikke kunne sikre fortøjningen. Kommunen åbner midlertidigt et venteskur på kajen, hvor passagerer kan få kaffe og opdateringer hver halve time. Næste vurdering sker klokken 06.00, når beredskabet har nye tal for vinden. Skoleelever fra Nordmark, der skulle til svømmestævne, bliver kørt med bus via Brohuset i stedet. Fjordpressen følger ruten gennem natten og lægger nye tal på hjemmesiden, når Lisbeth Holm skriver igen.","Storm Nanna forced the Vesterklit ferry company last night to cancel all departures between Havnepladsen and Mågeø. Director Lisbeth Holm said that the waves at Sølvdyp measured over four metres, and that the crew could not secure the mooring. The municipality is temporarily opening a shelter on the quay, where passengers can get coffee and updates every half hour. The next assessment happens at 06.00, when the emergency service has new figures for the wind. Schoolchildren from Nordmark, who were going to a swim meet, will be driven by bus via Brohuset instead. Fjordpressen will follow the route through the night and post new figures on the website when Lisbeth Holm writes again."
vk-002,"Teknisk forvaltning har givet betinget godkendelse til en 87 meter høj testmast på Klitsand. Ingeniør Karsten Vang sagde, at masten skal måle vind i to år, før nogen taler om vindmøller. Naboerne på Rylevej har sendt 14 klager om støj og trækfugle, og klagerne følger med tilladelsen som vilkår. Miljøvurderingen kræver, at master og kabler tages ned, hvis fugletællingen falder med over ti procent. Borgmester Ellen Buhl understregede, at projektet ikke er en hemmelig møllepark, men et målepunkt. Høringen slutter den 3. maj, og Fjordpressen lægger rapporten i læsesalen på biblioteket.","The technical department has given conditional approval to an 87-metre test mast at Klitsand. Engineer Karsten Vang said that the mast must measure wind for two years before anyone talks about wind turbines. The neighbours on Rylevej have sent 14 complaints about noise and migratory birds, and the complaints travel with the permit as conditions. The environmental review requires that masts and cables come down if the bird count falls by over ten percent. Mayor Ellen Buhl stressed that the project is not a secret turbine park, but a measuring point. The hearing closes on 3 May, and Fjordpressen will put the report in the reading room at the library."
vk-003,"Efterårsregnen har åbnet en lækage i taget over aulaen på Nordmark Skole. Lærer Amina Sørensen flyttede tre klasser ned i bibliotekets læsestue, fordi gulvet var vådt. Teknisk forvaltning skønner, at reparationen koster 1,2 millioner kroner og tager fire uger. Håndværkere fra Brohuset begynder mandag, hvis vinden holder sig under 15 meter. Forældre bad om midlertidig bus til Amberhus, men kommunen sagde nej på grund af budgettet. Skoleeleverne får gymnastik i havnens venteskur, indtil aulaen er tør.","The autumn rain has opened a leak in the roof over the hall at Nordmark School. Teacher Amina Sørensen moved three classes down to the library reading room because the floor was wet. The technical department estimates that the repair costs 1.2 million kroner and takes four weeks. Tradespeople from Brohuset start on Monday if the wind stays under 15 metres. Parents asked for a temporary bus to Amberhus, but the municipality said no because of the budget. The schoolchildren get gymnastics in the harbour shelter until the hall is dry."
vk-004,"Byrådet vedtog i går udvidelsen af Stenmole med 17 stemmer for, fire imod og én blank. Projektet lægger 80 meter ny kaj til fiskere og en bredere sti til sommergæster. Borgmester Ellen Buhl sagde, at anlægsarbejdet skaber 25 lokale arbejdspladser i to sæsoner. Fiskeriforeningen pegede på, at kvoten allerede er presset, og at kajen ikke fanger flere torsk. Entreprenøren fra Klitsand skal være færdig inden 1. oktober, ellers falder kontrakten. Høringen om støj om natten fortsætter, fordi naboerne på Rylevej stadig er bekymrede.","The town council yesterday adopted the Stenmole extension with 17 votes for, four against and one blank. The project adds 80 metres of new quay for fishers and a wider path for summer visitors. Mayor Ellen Buhl said that the construction creates 25 local jobs over two seasons. The fishery association pointed out that the quota is already tight, and that the quay does not catch more cod. The contractor from Klitsand must finish before 1 October, otherwise the contract falls. The hearing on noise at night continues, because the neighbours on Rylevej are still worried."
vk-005,"Amberhus åbner lørdag en udstilling om rav og bronzealderfund fra gravhøje i omegnen. Museets formand Poul Nissen sagde, at 40 procent af fundene aldrig har været vist offentligt. Børn kommer gratis ind, mens voksne betaler 65 kroner, og billetter sælges også på biblioteket. Yasmin El-Khatib har skrevet teksterne på dansk og engelsk, så sommergæster kan læse med. Udstillingen varer til 15. september og flytter derefter et udvalg til læsesalen. Fjordpressen lægger et kort over gravhøjene ved Tangløb, men uden præcise koordinater.","Amberhus opens on Saturday an exhibition about amber and Bronze Age finds from barrows in the area. The museum chair Poul Nissen said that 40 percent of the finds have never been shown publicly. Children enter free, while adults pay 65 kroner, and tickets are also sold at the library. Yasmin El-Khatib has written the texts in Danish and English so summer visitors can read along. The exhibition runs until 15 September and afterwards moves a selection to the reading room. Fjordpressen will post a map of the barrows by Tangløb, but without precise coordinates."
vk-006,"Kommunen prøver i juni, juli og august en natbus mellem Havnepladsen, Nordmark og Amberhus. Ruten kører fredag og lørdag efter klokken 22.00 og slutter klokken 01.30. Teknisk chef Henrik Straarup sagde, at forsøget koster 380.000 kroner og kræver mindst 12 passagerer pr. tur. Hvis tallet ligger lavere tre uger i træk, stopper busserne uden ny høring. Turister fra Mågeø kan købe billet sammen med færgen, men kun når færgen ikke er aflyst. Fjordpressen tæller passagerer de første to weekender og lægger tallene i arkivet.","The municipality is trying in June, July and August a night bus between Havnepladsen, Nordmark and Amberhus. The route runs Friday and Saturday after 22.00 and ends at 01.30. Technical lead Henrik Straarup said that the trial costs 380,000 kroner and needs at least 12 passengers per trip. If the figure sits lower for three weeks in a row, the buses stop without a new hearing. Tourists from Mågeø can buy a ticket together with the ferry, but only when the ferry is not cancelled. Fjordpressen will count passengers the first two weekends and put the figures in the archive."
vk-007,"Kommunen åbner et tilskud på 27.000 kroner til varmepumper i huse ældre end 1965. Fristen er 12. april, og ansøgningen skal vedlægge et energimærke ikke ældre end to år. Sofie Tranberg fra forvaltningen sagde, at der er penge til 60 husstande i første runde. Huse på Rylevej og omkring Tangløb får forrang, fordi de ligger i den kolde kystkile. Hvis ansøgere glemmer energimærket, bliver brevet lagt tilbage uden ny frist. Fjordpressen lægger skemaet i læsesalen og på hjemmesiden samme dag, som høringen slutter.","The municipality is opening a subsidy of 27,000 kroner for heat pumps in houses older than 1965. The deadline is 12 April, and the application must attach an energy label no older than two years. Sofie Tranberg from the department said that there is money for 60 households in the first round. Houses on Rylevej and around Tangløb get priority because they sit in the cold coastal wedge. If applicants forget the energy label, the letter is put back without a new deadline. Fjordpressen will put the form in the reading room and on the website the same day the hearing closes."
vk-008,"Cykelstien langs Tangløb er udsat til næste forår, fordi en fredning af klitten kom i vejen. Naturstyrelsen kræver en omlægning 40 meter længere inde, væk fra de våde partier. Mikkel Ravn fra teknisk forvaltning sagde, at den nye linje koster 2,4 millioner ekstra. Byrådet udsatte beslutningen, indtil budgettet for næste år er klart i december. Skoleelever fra Nordmark cykler derfor stadig ad den smalle Rylevej i mørke. Fjordpressen har gået ruten med Ravn og lægger et kort uden at pege på redepladser.","The bike path along Tangløb is postponed until next spring because a dune conservation order got in the way. The nature agency requires a reroute 40 metres further inland, away from the wet stretches. Mikkel Ravn from the technical department said that the new line costs 2.4 million extra. The town council postponed the decision until next year's budget is clear in December. Schoolchildren from Nordmark therefore still cycle along the narrow Rylevej in the dark. Fjordpressen walked the route with Ravn and will post a map without pointing out nesting sites."
vk-009,"Biblioteket scanner kirkebøgerne fra Vesterklit, Nordmark og Mågeø og lægger dem i et digitalt arkiv. Frivillige under Troels Kjær har allerede scannet 11.000 sider siden januar. Slægtsforskere kan læse med i læsesalen, men ikke tage billeder af de ældste bind fra 1784. Kommunen betaler 190.000 kroner, og restbeløbet kommer fra en fælles bevilling med Amberhus. Hvis en side er for våd eller sort, bliver den stående i det fysiske arkiv under lås. Fjordpressen får ikke navne fra levende personer med i artiklen, kun årstal og sogn.","The library is scanning the parish registers from Vesterklit, Nordmark and Mågeø and placing them in a digital archive. Volunteers under Troels Kjær have already scanned 11,000 pages since January. Genealogists can read along in the reading room, but not take pictures of the oldest volumes from 1784. The municipality pays 190,000 kroner, and the remainder comes from a shared grant with Amberhus. If a page is too wet or black, it stays in the physical archive under lock. Fjordpressen will not put names of living people in the article, only years and parish."
vk-010,"Fiskeriforeningen holdt møde i Brohuset om en ventet lavere kvote på torsk og rødspætte. Formand Mikkel Ravn læste et brev fra ministeriet, der peger på 18 procent færre ton i den kommende sæson. Medlemmerne var uenige: nogle vil fiske hårdere først på året, andre vil holde bådene i havnen. Aftalen med kommunen om kajplads på Stenmole gælder kun, hvis mindst 20 både betaler afgift. Ellen Buhl lovede ikke nye penge, men bad om tal for fangst pr. uge inden 1. marts. Fjordpressen sad med som presse, men uden båndoptager, efter et krav fra bestyrelsen.","The fishery association held a meeting at Brohuset about an expected lower quota on cod and plaice. Chair Mikkel Ravn read a letter from the ministry that points to 18 percent fewer tonnes in the coming season. The members disagreed: some want to fish harder early in the year, others want to keep the boats in the harbour. The agreement with the municipality on quay space at Stenmole applies only if at least 20 boats pay the fee. Ellen Buhl did not promise new money, but asked for catch figures per week before 1 March. Fjordpressen sat in as press, but without a tape recorder, after a demand from the board."
