id,body,translated,summary
klintelund-cykelsti,"Klintelund Kommune har vedtaget at anlægge en ny cykelsti mellem stationspladsen og havnen. Projektet blev godkendt med 17 stemmer for og 4 imod på tirsdagens byrådsmøde. Stien skal efter planen stå færdig inden efterårsferien 2024 og koste 4,2 millioner kroner. Flere forældre har i årevis klaget over den smalle vej langs fjorden, hvor skolebørn cykler uden afskærmning. Entreprenøren Nordkyst Anlæg A/S vandt udbuddet, og gravearbejdet begynder i uge 12, hvis de sidste servitutter bliver underskrevet.","Klintelund Municipality has approved a new cycle path between the station square and the harbour. The project passed with 17 votes to 4 at Tuesday's council meeting. The path is scheduled to open before the 2024 autumn break and to cost 4.2 million kroner. Parents have complained for years about the narrow road along the fjord, where schoolchildren cycle without a barrier. Contractor Nordkyst Anlæg A/S won the tender, and excavation starts in week 12 if the last easements are signed.","Klintelund will build a 4.2 million kroner cycle path from the station to the harbour, starting in week 12."
vesteroe-robotter,"Elever fra Vesterø Skoles 8. klasse vandt regionens robotcup i Aalborg med en autonom affaldssorterer. Robotten skelner papir, plast og metal med et billigt kamera og en model, eleverne selv har trænet. Holdet, der kalder sig Fjordbots, slog 14 andre skoler i finalen lørdag. Lærerinden Mette Kragh siger, at klubben mødes to eftermiddage om ugen i sløjdlokalet, og at præmien på 15.000 kroner går til nye motorer. Næste stop er det nationale mesterskab i Odense i marts.","Year-8 pupils from Vesterø School won the regional robot cup in Aalborg with an autonomous waste sorter. The robot tells paper, plastic and metal apart with a cheap camera and a model the students trained themselves. The team, Fjordbots, beat 14 other schools in Saturday's final. Teacher Mette Kragh says the club meets two afternoons a week in the craft room, and that the 15,000 kroner prize will buy new motors. Next stop is the national championship in Odense in March.",Vesterø School's Fjordbots won the regional robot cup with a homemade waste-sorting robot and will go to Odense.
nordkyst-storm,"DMI har udsendt et varselsniveau 2 for Nordkysten natten til onsdag, med kastevinde op til 25 meter i sekundet. Beredskabet i Strandholt anbefaler, at både tages på land, og at campingvogne sures ekstra. Færgen til Holmeø er aflyst fra klokken 22 til torsdag morgen. Kommunen åbner en varmestue i sportscentret, hvis strømmen går. Seneste tilsvarende varsel ramte kysten i januar 2022 og væltede tagplader på tre lader.","The Danish Meteorological Institute has issued a level-2 warning for the North Coast on Tuesday night, with gusts up to 25 metres per second. Emergency services in Strandholt recommend hauling boats ashore and extra-strapping caravans. The Holmeø ferry is cancelled from 22:00 until Thursday morning. The municipality will open a warming room in the sports centre if the power fails. The last similar warning hit the coast in January 2022 and tore roof sheets off three barns.",A level-2 storm warning for the North Coast cancels the Holmeø ferry overnight and urges boats ashore.
havneby-faerge,"Havneby Færgeselskab ændrer vintersejladsen fra 1. november: der bliver tre daglige afgange i stedet for fem. Selskabet henviser til faldende passagertal efter klokken 18 og til reservedele, der stadig venter fra værftet i Skagen. Pendlerne i Østerhavn har startet en underskriftindsamling, fordi aftenturen klokken 20,30 forsvinder. Direktør Lars Holm lover, at sommerruten vender tilbage uændret i påsken, hvis de to ældste skibe kommer i dok til tiden.",Havneby Ferry Company will change the winter timetable from 1 November: three daily sailings instead of five. The company cites falling passenger numbers after 18:00 and spare parts still waiting from the yard in Skagen. Commuters in Østerhavn have started a petition because the 20:30 evening crossing disappears. Director Lars Holm promises the summer route will return unchanged at Easter if the two oldest ships enter dock on time.,"Havneby cuts winter ferry sailings from five a day to three from 1 November, dropping the 20:30 crossing."
lund-bageri,"Bageriet Lund i Mosevang lukker 30. november efter 40 år i samme hjørneejendom. Indehaverparret Inger og Poul Lund går på pension og har ikke fundet en køber, der vil overtage nattevagterne. Den sidste uge sælges rugbrød til halv pris, og det gamle træskilt over døren skal på egnsmuseet. Naboerne i Algade 12-18 kalder bageriet for byens ur, fordi køen klokken syv har styret morgenerne siden 1984.","Lund's Bakery in Mosevang will close on 30 November after 40 years in the same corner building. Owners Inger and Poul Lund are retiring and have not found a buyer willing to take the night shifts. Rye bread is half price in the final week, and the old wooden sign above the door will go to the local museum. Neighbours on Algade 12-18 call the bakery the town clock, because the seven o'clock queue has set the mornings since 1984.",Lund's Bakery in Mosevang closes 30 November after 40 years; the owners are retiring without a buyer.
groenmark-vind,"Et konsortium bag navnet Grønmark Vind har søgt om otte havvindmøller på 150 meter ude for Grønmark Rev. Ansøgningen ligger nu i fire ugers høring i Klintelund Rådhus og i fiskerihavnen. Lokale kystfiskere frygter tabte trawlbaner, mens klimaudvalget kalder projektet for kommunens eneste chance for at nå 2030-målet. Hvis tilladelsen kommer, kan første mølle stå i 2027, men kablet til transformerstationen i Sandvig er endnu ikke finansieret.","A consortium called Grønmark Vind has applied for eight 150-metre offshore turbines off Grønmark Reef. The application is now in a four-week hearing at Klintelund Town Hall and at the fishing harbour. Local coastal fishers fear lost trawl lanes, while the climate committee calls the project the municipality's only shot at the 2030 target. If permission comes, the first turbine could stand in 2027, but the cable to the Sandvig substation is not yet funded.",Eight 150-metre turbines off Grønmark Reef are in a four-week hearing; fishers object and the export cable is unfunded.
fc-klintelund,"FC Klintelund sikrede oprykning til 3. division med 2-1 over Strandholt IF i en udebane, hvor 812 tilskuere stod i regn. Målene kom fra Elias Mørk i det 14. minut og fra indskiftede Nora Bak i det 88. Træner Bo Feldborg kaldte sejren for tre års arbejde på ungdomsholdene, ikke for et enkelt lykketræf. Første hjemmekamp i den nye række spilles 9. august, hvis banen på Stadionvej bliver godkendt til lys.","FC Klintelund earned promotion to the third division with a 2-1 win at Strandholt IF in rain in front of 812 spectators. Elias Mørk scored in the 14th minute and substitute Nora Bak in the 88th. Coach Bo Feldborg called the win three years of youth-team work, not a single lucky bounce. The first home match in the new tier is 9 August if the Stadionvej pitch is approved for lights.","FC Klintelund went up to the third division with a 2-1 win at Strandholt, goals from Mørk and Bak."
mosevang-budget,"Mosevang Kommune fremlagde tirsdag et budget for 2025, der skærer 6,1 millioner på folkeskolen og lægger 3,4 millioner til hjemmeplejen. Borgmester Ane Vildbjerg (V) sagde, at ældretallet stiger hurtigere end børnetallet, og at to små spor i udskolingen må lægges sammen. Lærerforeningen kalder forslaget for et brud på valgløftet om max 24 elever i klassen. Den politiske forligskreds mødes igen onsdag, og SF har varslet, at de kun skriver under, hvis SFO-taksten fryses.","Mosevang Municipality presented a 2025 budget on Tuesday that cuts 6.1 million kroner from primary schools and adds 3.4 million to home care. Mayor Ane Vildbjerg (Venstre) said the older population is growing faster than the number of children, and that two small lower-secondary tracks must merge. The teachers' union calls the proposal a break with the campaign pledge of a 24-pupil class cap. The coalition meets again Wednesday, and the Socialist People's Party has said it will sign only if after-school fees are frozen.",Mosevang's 2025 budget shifts 6.1 million from schools to home care; teachers object and SF wants SFO fees frozen.
sandvig-bibliotek,"Sandvig åbner et nyt bibliotek i den gamle toldbygning ved kajen lørdag klokken 11. Samlingen rummer 18.000 bind, to studieceller og en sal, der kan lånes til foreningsmøder uden for åbningstid. Bibliotekschef Hanne Bro siger, at børneafdelingen får en separat indgang, så barnevogne ikke skal op ad stentrappen. Kommunen har brugt 11 millioner på ombygningen, heraf 2 millioner fra en lokal fond stiftet af skibsrederfamilien Frost. Den gamle filial på Stationsvej lukker fredagen før og bliver til ungdomsboliger.","Sandvig opens a new library in the old customs house on the quay on Saturday at 11:00. The collection holds 18,000 volumes, two study carrels, and a hall clubs can book after hours. Library director Hanne Bro says the children's section will have a separate entrance so prams do not have to climb the stone stairs. The municipality spent 11 million kroner on the conversion, including 2 million from a local fund set up by the Frost shipping family. The old branch on Stationsvej closes the Friday before and will become youth housing.",Sandvig's new quay-side library opens Saturday in the old customs house; the Stationsvej branch becomes youth housing.
oesterhavn-kvote,"Fiskerne i Østerhavn mødtes onsdag aften i den gamle ishal for at protestere imod næste års torskekvote, som ifølge udkastet fra ministeriet skæres med 18 procent i Skagerrak, 11 procent i Kattegat og 7 procent i den vestlige Østersø, og de pegede på, at kutterne Nordlys, Havørn, Mågen, Fjordtåge, Sølvpilen, Stormsvale, Klitrosen og Lillebror allerede ligger stille hver anden uge, at isværket kun kører tre dage, at auktionen i Hanstholm tager de sidste kasser, og at familierne derfor kræver et midlertidigt tilskud til brændstof, en åben høring i fiskerihavnen inden jul, og at kvoten først vedtages, når de lokale fangstdagbøger fra september, oktober og november er lagt ved siden af de satellitbaserede skøn, som de kalder for grove, forsinkede og ude af trit med det, skipperne selv vejer ved kajen.","Fishers in Østerhavn met Wednesday evening in the old ice hall to protest next year's cod quota, which the ministry draft cuts by 18 percent in the Skagerrak, 11 percent in the Kattegat and 7 percent in the western Baltic, and they pointed out that the cutters Nordlys, Havørn, Mågen, Fjordtåge, Sølvpilen, Stormsvale, Klitrosen and Lillebror already lie idle every other week, that the ice plant runs only three days, that the Hanstholm auction takes the last crates, and that families therefore demand a temporary fuel subsidy, an open hearing in the fishing harbour before Christmas, and that the quota is not adopted until the local catch logs from September, October and November are set beside the satellite estimates, which they call coarse, late and out of step with what skippers themselves weigh at the quay.","Østerhavn fishers protest planned Skagerrak, Kattegat and Baltic cod cuts and want a harbour hearing before the quota is set."
