id,article text,title,topic
lab-01,"Himmerlands Observatorium åbner lørdag aften for offentligheden, når månen står højt og Saturn kan ses i det største spejlteleskop. Bestyrelsen forventer omkring 80 gæster og har sat kaffe på i den gamle målestation ved siden af kuplen. Astronomilærer Ida Vendelbo viser, hvordan man finder Cassiopeia uden en telefon, og hun har printet et stjernekort på A3. Børn under 12 kommer gratis, men skal have en voksen med ind på platformen. Hvis skydækket bliver for tæt, flyttes kigget til søndag kl. 21. Observatoriet ligger 12 kilometer nord for Hobro og har to spejlteleskoper fra 1998, som frivillige har pudset i påskeferien.",Himmerlands Observatorium åbner for månens aften,astronomi
lab-02,"Ti bagere fra Midt- og Nordjylland mødes søndag i Skives gamle dampbageri for at kåre årets surdej. Dommerne smager i blinde og giver point for skorpe, syre og duft af ristet malt. Sidste års vinder, Mette Kjær fra Lemvig, stiller op med en dejsyre hun har fodret hver morgen siden januar. Publikum kan købe de kasserede brød til 20 kr. stykket, og overskuddet går til byens ungdomsskole. Arrangørerne forventer kø, så der sælges nummerlapper fra kl. 10. Dampbageriets ovn fra 1924 er tændt for første gang siden restaureringen i 2021.",Surdejsmestre mødes i Skives gamle dampbageri,mad
lab-03,"Jazz i Vejle Ådal slår dørene op fredag med tre scener, hvoraf den mindste ligger på en pram i åen. Headlineren er saxofonisten Naja Storm, der vender hjem efter seks år i Malmö. Festivalen har i år droppet de dyre udenlandske navne og satser på jyske kvartetter og en enkelt færøsk vokaltrio. Dagsbilletter koster 175 kr., og børn under 16 kommer gratis med en voksen. Hvis det regner, flyttes pramscenen ind i det gamle vandværk. Arrangørerne lover, at sidste nummer slutter inden kl. 23 af hensyn til naboerne langs åstien.",Jazz i Vejle Ådal slår dørene op med tre scener,musik
lab-04,"Godt 240 amatørcyklister rider søndag en 86 kilometers klassiker gennem Rold Skov med start i Skørping. Løbsledelsen advarer om løst grus på den nordlige sløjfe efter nattens regn og beder rytterne om at holde afstand i nedkørslerne. Der er væskestation ved Rebild Bakker og en ekstra ved den gamle skovridergård. Børn mellem 10 og 14 kan køre en 12 kilometers minirute, der slutter ved spejderhytten. Tilmeldingen lukkede torsdag med venteliste. Arrangørerne samarbejder med skovfogeden om at holde hestene væk fra de smalle stier mellem kl. 9 og 14.",Amatørcyklister rider klassiker gennem Rold Skov,sport
lab-05,"Hjørring Bibliotek åbner torsdag for en digternat, hvor ni lokale stemmer læser upublicerede tekster i magasinet under hovedtrappen. Arrangementet er gratis, men der er kun 60 stole, så værterne anbefaler at møde op en halv time før. Poeten Sigrid Holm, der debuterede sidste år på et lille forlag i Aalborg, er aftenens vært og har bedt alle om at holde sig under fire minutter. Cafeen sælger te og kirsebærkage i pausen. Optagelserne lægges på bibliotekets podcast næste onsdag. Hvis elevatoren stadig er i stykker, vises der vej ad den smalle kældertrappe.",Digternat på Hjørring Bibliotek samler nye stemmer,litteratur
lab-06,"Bybiavlerne på Amager høster i weekenden den første sommerhonning fra kasserne på taget af det gamle vandtårn. Formand Karim Dahl siger, at foråret var koldt, så udbyttet nok lander under 40 kilo. Gæster kan smage tre slags honning og se, hvordan tavlerne slynges i et telt ved foden af tårnet. Børn skal have lukkede sko på, og der udlånes slør ved indgangen. Overskuddet fra glassene til 65 kr. går til nye dronninger næste april. Hvis vinden kommer ind fra Øresund, rykker slyngningen ind i cykelskuret.",Bybiavlere på Amager høster den første sommerhonning,natur
lab-07,"Fireogtyve veteraner spiller i weekenden danmarksmesterskab i skak i Svendborgs gamle toldbod ved havnen. Runderne begynder kl. 10 begge dage, og der er betænkningstid på 90 minutter plus 30 sekunder pr. træk. Favoritten er Inge Ravn fra Odense, der vandt sidste år i Kolding uden at tabe et parti. Tilskuerne skal være stille efter det første træk og må kun fotografere i pauserne. Der serveres æblemost og smørrebrød i det lille pakhus ved siden af. Finalerunden transmitteres på klubbens hjemmeside søndag eftermiddag.",Veteraner spiller skak-DM i Svendborgs gamle toldbod,spil
lab-08,"Geolog Pernille Søndergaard holder onsdag aften foredrag i Blåvandshuk om klitter, der flytter sig op til to meter på et vinterhalvår. Hun viser målinger fra 2016 til 2023 og forklarer, hvorfor marehalmen nogle år taber til vestenvinden. Arrangementet starter kl. 19 i redningsstationens garage og er gratis, men der er kun 45 pladser. Efter oplægget går holdet 400 meter ud på stranden med lommelygter, hvis tidevandet tillader det. Kommunen har lagt et kort frem, der viser hvilke stier der er spærret efter sidste efterårs storm. Tilmelding sker på bibliotekets seddel i foyer.",Geolog fortæller om klitter der vandrer ved Blåvand,videnskab
lab-09,"Fire afgangsfilm fra den lille filmskole i Aarhus får premiere lørdag i annekset bag den gamle biograf. Den længste film varer 18 minutter og handler om en færge, der aldrig lægger til, mens den korteste er en animationsfilm på fire minutter om en postkasse. Instruktørerne svarer på spørgsmål efter hver visning, og der er undertekster på engelsk. Billetter koster 40 kr. og sælges i døren, så længe der er sæder. En af filmene er optaget i Rødvig og har fået tilladelse til at bruge havnens tågehorn. Caféen holder åbent til midnat med kaffe og mineralvand.",Studerendes kortfilm får premiere i filmskolens anneks,film
lab-10,"Sprogfolk fra hele landet samles fredag i Ribe til en gæsteforelæsning om norrønt og de danske runer, der stadig kan læses på gravstenene i domkirkens krypt. Gæsten er professor Eiríkur Halldórsson fra Reykjavík, der taler på dansk med færøske indskud. Der er 70 pladser i kapitelsalen, og tilmeldingen lukkede allerede mandag. Efter foredraget vises tre håndskriftfragmenter, som museet normalt holder i mørke. Studerende kan få et kursusbevis, hvis de afleverer et referat på 400 ord inden næste torsdag. Kaffen serveres i korsgangen, så salen kan luftes.",Gæsteforelæsning om norrønt samler sprogfolk i Ribe,sprog
