id,body,translated
dn-001,"Biblioteket i Nordhavn udvider åbningstiderne fra næste mandag. Borgere kan fremover låne bøger og bruge læsesalen helt til klokken 21 på hverdage. Kommunen forventer, at ændringen især hjælper studerende og skifteholdsarbejdere. Der kommer samtidig tre nye studiepladser med stikkontakter og bedre belysning. Bibliotekslederen siger, at huset skal være et åbent sted, ikke kun en reol i dagtimerne.","The library in Nordhavn is extending its opening hours from next Monday. Residents will be able to borrow books and use the reading room until 21:00 on weekdays. The municipality expects the change to help students and shift workers in particular. Three new study seats with power outlets and better lighting will also be added. The library director says the building should be an open place, not only a bookshelf during daytime hours."
dn-002,"Aarhus Cykelfestival samlede lørdag mere end 2.400 ryttere på en rute fra Dokk1 til Marselisborgskovene. Eliteløbet blev vundet af Maja Vestergaard, der kørte de 84 kilometer på 2 timer og 11 minutter. Politiet lukkede midlertidigt en del af Strandvejen, men bustrafikken kørte efter en omlagt køreplan. Arrangørerne vurderer, at festivalen bliver årlig, hvis kommunen godkender en ny tilladelse i januar.","Aarhus Cycling Festival gathered more than 2,400 riders on Saturday on a route from Dokk1 to the Marselisborg woods. The elite race was won by Maja Vestergaard, who covered the 84 kilometres in 2 hours and 11 minutes. Police temporarily closed part of Strandvejen, but buses ran on a diverted timetable. Organisers believe the festival will become annual if the municipality approves a new permit in January."
dn-003,"DMI har udsendt et gult varsel for vestjyske kommuner natten til torsdag. Der ventes kastevinde op til 22 meter i sekundet og lokale skybrud. Beredskabet i Ringkøbing-Skjern anbefaler, at campingvogne rebes, og at løse havemøbler tages ind. Færgen til Fanø holder fast i sejlplanen, men kan indstille afgange med en times varsel. Varslet gælder til torsdag formiddag klokken 11.",DMI has issued a yellow warning for west Jutland municipalities Thursday night. Gusts of up to 22 metres per second and local cloudbursts are expected. The Ringkøbing-Skjern emergency service recommends securing caravans and bringing in loose garden furniture. The Fanø ferry keeps its timetable but may cancel departures with one hour's notice. The warning lasts until 11:00 Thursday morning.
dn-004,"Sct. Hans Skole i Roskilde lukker sit køkken i tre uger fra 7. oktober, mens ventilationsanlægget skiftes. Eleverne får i perioden mad fra et midlertidigt teltkøkken på boldbanen. Forældrebestyrelsen har bedt om, at allergivenlige retter stadig kan vælges. Entreprenøren lover, at støjende arbejde ligger uden for skoledagen. Rektor Mette Krogh siger, at ingen undervisning flyttes, men at idræt i 3. og 4. time rykker ind i hallen.","Sct. Hans School in Roskilde will close its kitchen for three weeks from 7 October while the ventilation system is replaced. Pupils will be served from a temporary tent kitchen on the sports field. The parent board has asked that allergen-friendly meals remain available. The contractor promises noisy work will stay outside the school day. Principal Mette Krogh says no lessons will move, but PE in the third and fourth periods will shift into the sports hall."
dn-005,"Bageriet Havnekringle i Horsens fylder 40 år onsdag og deler 800 gratis tebirkes ud fra klokken 7. Grundlæggeren Jørgen Holm står stadig i butikken to morgener om ugen. Sønnen Line Holm fortæller, at de holder fast i surdej fra 1986, men at økologisk mel nu udgør 70 procent af indkøbet. Kommunen har givet tilladelse til bordopstilling på fortovet frem til lørdag.",The Havnekringle bakery in Horsens turns 40 on Wednesday and will give away 800 free tebirkes from 07:00. Founder Jørgen Holm still works the shop two mornings a week. His daughter Line Holm says they still use a 1986 sourdough but that organic flour now makes up 70 percent of purchases. The municipality has allowed pavement tables through Saturday.
dn-006,"Havneudvidelsen i Frederikshavn går nu ind i anden etape, efter byrådet tirsdag aften vedtog anlægsloven med 21 stemmer for og fire imod. Etapen omfatter 340 meter ny kaj, et landstrømsanlæg til færger og en offentlig promenade, der skal binde bymidten sammen med kyststien mod nord. Prisen er sat til 187 millioner kroner, hvoraf staten dækker 60 millioner gennem en pulje til grønne havne. Resten finansieres af kommunen og et lån i KommuneKredit. Entreprenøren Arctic Quay A/S har 28 måneder til at færdiggøre arbejdet. I den periode lukkes Pakhusvej for gennemkørende trafik, og lastbiler henvises til en midlertidig rute via Enghavevej. Fiskerne på den gamle mole beholder deres pladser, men skal flytte isværket i otte uger næste vinter. Miljøvurderingen kræver, at opgravet sediment testes for tributyltin, før det må dumpes på det anviste klappladsområde 11 kilometer til havs. En gruppe beboere på Havnegade har indsamlet 612 underskrifter, fordi de frygter støj om natten, når spunsvægge rammes. Projektlederen Inge Buhl siger, at ramning kun sker mellem klokken 7 og 18, og at der opsættes støjskærme ud for de nærmeste facader. Hun understreger, at landstrømmen skal gøre det muligt for Oslo-færgen at slukke hjælpegeneratorerne i havn, hvilket ifølge kommunens regnestykke skærer 1.200 ton CO2 om året. Kulturudvalget har samtidig sat 2,5 millioner kroner af til belysning og bænke på promenaden, så den kan bruges om vinteren. Hvis tidsplanen holder, åbner kajen officielt i marts 2027 med en åben-havn-dag, hvor skoleskibet Georg Stage ligger til. Indtil da kan nysgerrige følge byggeriet fra en udsigtsplatform ved det gamle toldkammer, som åbner hver lørdag formiddag.","The port expansion in Frederikshavn now enters its second phase after the city council on Tuesday evening passed the construction act with 21 votes in favour and four against. The phase includes 340 metres of new quay, a shore-power plant for ferries, and a public promenade linking the town centre to the coastal path northwards. The price is set at 187 million kroner, of which the state covers 60 million through a green-ports fund. The rest is financed by the municipality and a KommuneKredit loan. Contractor Arctic Quay A/S has 28 months to finish the work. During that period Pakhusvej closes to through traffic and trucks are sent via a temporary route on Enghavevej. Fishers on the old pier keep their berths but must move the ice plant for eight weeks next winter. The environmental assessment requires excavated sediment to be tested for tributyltin before it may be dumped at the designated disposal site 11 kilometres offshore. A group of residents on Havnegade has collected 612 signatures because they fear night-time noise when sheet piles are driven. Project lead Inge Buhl says piling will only happen between 07:00 and 18:00, and that noise screens will go up in front of the nearest facades. She stresses that shore power will let the Oslo ferry switch off its auxiliary generators in port, which the municipality calculates will cut 1,200 tonnes of CO2 a year. The culture committee has also earmarked 2.5 million kroner for lighting and benches on the promenade so it can be used in winter. If the timetable holds, the quay opens officially in March 2027 with an open-port day when the training ship Georg Stage is alongside. Until then, visitors can watch the construction from a viewing platform at the old custom house, open every Saturday morning."
dn-007,"Regionshospitalet i Viborg nedbringer den gennemsnitlige ventetid til knæoperationer fra 19 til 12 uger. Direktionen har flyttet to operationslejer fra aftenberedskabet til dagprogrammet og ansat tre ekstra fysioterapeuter til det tidlige genoptræningsforløb. Patientforeningen advarer om, at rygpatienter kan blive ramt, fordi de samme stuer bruges om torsdagen. Hospitalet svarer, at rygsporet får to ekstra dage om måneden fra februar. Ændringen træder i kraft 1. november.",The regional hospital in Viborg is cutting average waiting time for knee operations from 19 to 12 weeks. Management has moved two operating slots from the evening roster to the day programme and hired three extra physiotherapists for early rehabilitation. The patients' association warns that back patients may lose out because the same theatres are used on Thursdays. The hospital says the back pathway will gain two extra days a month from February. The change takes effect on 1 November.
dn-008,"Struer Havnefestival slår dørene op fredag med tre scener og et forventet besøg på 14.000 gæster. Hovednavnet er et gensyn med gruppen Havbrise, som ikke har spillet i byen siden 2018. Kommunen indfører i år et røgfrit område foran familieplænen og flere vandposter. DSB sætter en ekstra vogn på toget fra Holstebro lørdag eftermiddag. Festivalen slutter søndag klokken 22.","Struer Harbour Festival opens on Friday with three stages and an expected 14,000 visitors. The headline is a reunion with the band Havbrise, which has not played in town since 2018. The municipality is introducing a smoke-free zone in front of the family lawn and more water taps this year. DSB will add an extra carriage on the train from Holstebro on Saturday afternoon. The festival ends at 22:00 on Sunday."
dn-009,"Færgen mellem Hundested og Rørvig indstiller to aftenture fra mandag, fordi et gear i hovedmaskinen skal skiftes. Rejsende efter klokken 20 henvises til en bus via Frederiksværk, som kører 35 minutter længere. Rederiet betaler ikke kompensation for den omlagte rute, men ærebilletter kan bruges i 14 dage efter reparationen. Arbejdet forventes færdigt torsdag, hvis reservedelen ankommer fra Tyskland som planlagt.","The ferry between Hundested and Rørvig is cancelling two evening sailings from Monday because a gearbox in the main engine must be replaced. Travellers after 20:00 are sent to a bus via Frederiksværk that takes 35 minutes longer. The operator will not pay compensation for the diverted route, but honour tickets remain valid for 14 days after the repair. Work is expected to finish on Thursday if the spare part arrives from Germany as planned."
dn-010,"Tre nye vindmøller ved Tjele stod klar til nettilslutning i morges efter to års klagesager. Hver mølle er 149 meter høj og skal levere strøm svarende til 6.400 husstande. En nabogruppe tabte den sidste sag i Planklagenævnet, fordi skyggekast holder sig under 10 timer om året. Kommunen kræver, at servicevejen holdes åben for landbrugskørsel i høsten. Selskabet Vindøst A/S åbner et formidlingsrum i det gamle mejeri i Ørum til oktober.","Three new wind turbines at Tjele were ready for grid connection this morning after two years of appeals. Each turbine is 149 metres tall and should supply electricity equal to 6,400 homes. A neighbours' group lost the final case at the Planning Appeals Board because shadow flicker stays under 10 hours a year. The municipality requires the service road to stay open for farm traffic at harvest. The company Vindøst A/S will open an exhibition room in the old dairy in Ørum in October."
