id,article text
da-001,"En kraftig efterårsstorm ramte Nordjylland natten til tirsdag og efterlod ifølge Energinet mere end 14.000 husstande uden strøm. Flere højspændingsmaster væltede i et bælte fra Brovst til Aalborg, og beredskabet arbejdede i mørke med at skære væltede træer væk fra vejene. Aalborg Kommune åbnede tre nødherberger i idrætshaller, hvor omkring 200 borgere overnattede med tæpper, termokander og løbende information fra politiet. Meteorologerne fra DMI havde allerede mandag aften varslet kategori 2-vindstød, men de højeste målte stød ved Skagen oversteg prognosen. I Hirtshals blev en fiskekutter slået løs ved kajen, og havnefogeden lukkede broen i flere timer, mens bølgerne slog ind over den ydre mole. Onsdag morgen var strømmen genetableret hos de fleste kunder, men flere yderområder ventede stadig på teknikere. Kommunen opfordrer borgere til at vente med haveaffald til torsdag, når vinden efter planen løjer af. Skoler i Brønderslev og Jammerbugt holdt lukket tirsdag formiddag, fordi busruterne var spærret af væltede poppeltræer. Region Nordjylland oplyser, at skadestuen på Aalborg Universitetshospital tog imod et tital patienter med lettere kvæstelser efter faldende tagsten, men at ingen livstruende skader blev registreret. Energinet forventer, at den sidste 60-kilovoltlinje er oppe igen senest fredag."
da-002,"Københavns Kommune vil de næste fire år bruge 380 millioner kroner på at udvide cykelstierne langs Tagensvej, Nørrebrogade og Amagerbrogade. Teknik- og miljøborgmesteren præsenterede tirsdag en plan, der skal skære den gennemsnitlige pendlerrejse på cykel ned med tre minutter og samtidig mindske antallet af alvorlige uheld i kryds. Planen rummer bredere spor, særlige venstresvingsbaner og lyssignaler, der giver cyklister grønt fire sekunder før bilerne. Erhvervslivet på Nørrebro er delt: flere caféer glæder sig til mindre gennemkørende biltrafik, mens vognmænd advarer om, at varelevering om morgenen bliver sværere, hvis et kørespor forsvinder. Politiet har bedt om, at de mest trafikerede kryds får kameraovervågning i anlægsperioden. Hvis budgettet vedtages i november, begynder gravemaskinerne på Amager i marts. Kommunen lover, at skoleveje holdes åbne i hele perioden."
da-003,"Et konsortium ledet af IT-Universitetet i København har fået 27 millioner kroner fra Innovationsfonden til at træne åbne sprogmodeller på danske myndighedstekster. Projektet, der løber i tre år, skal gøre det muligt at opsummere høringsvar og lovudkast uden at sende data til kommercielle skyer uden for EU. Forskerne understreger, at modellerne ikke må trænes på fortrolige sagsakter, og at alle træningskorpora skal kunne dokumenteres. Tre kommuner og en styrelse deltager som testhusstande. Første milepæl er et offentligt delbart delkorpus af allerede offentliggjorte vejledninger. Kritikerne spørger, om 27 millioner rækker, når tilsvarende engelske modeller koster væsentligt mere at køre. Projektlederen svarer, at målet ikke er at slå de største systemer, men at have en dansk baseline, som journalister og forvaltninger kan køre lokalt. En midtvejsevaluering offentliggøres efter 18 måneder."
da-004,"FC Nordsjælland slog Brøndby 2-1 i Superligaen søndag eftermiddag efter et sent hovedstød af angriberen, der kom ind efter 73 minutter. Kampen i Farum blev afviklet i øsende regn, og første halvleg bød kun på et skud inden for ramme. Brøndby kom foran kort efter pausen på et omstilling, men hjemmeholdet udlignede, da en back sparkede bolden i kassen efter et hjørne. Dommeren afviste et Brøndby-krav om strafespark i det 88. minut efter videogennemsyn. Træneren for Nordsjælland kaldte sejren for 'grim, men nødvendig' foran 6.400 tilskuere. Brøndbys chef sagde, at holdet havde fortjent et point, og at kalenderen med tre kampe på otte dage nu bliver tungere. Med sejren rykker Nordsjælland op på fjerdepladsen, mens Brøndby bliver stående som nummer seks."
da-005,"Aarhus Byråd vedtog onsdag et budget, der hæver dækningsafgiften for erhvervsejendomme og skyder 90 millioner kroner i renovering af tre ældre folkeskoler i den vestlige del af kommunen. Socialdemokratiet, SF, Enhedslisten og et enkelt borgerligt mandat stemte for, mens Venstre og Konservative stemte imod med henvisning til butiksdød i midtbyen. Borgmesteren sagde, at skolerne i Brabrand og Tilst har ventet på nye tage og ventilation siden 2019, og at yderligere udsættelse ville blive dyrere. Erhvervsforeningen kalder afgiften 'en stille skat på kvadratmeter' og varsler, at flere kæder vil droppe nye lejemål. Forliget rummer også en pulje på 12 millioner til cykelstier mellem Viby og havnen samt et loft over stigningen i daginstitutionstakster. Budgettet træder i kraft 1. januar."
da-006,"Et konsortium bag en planlagt havvindmøllepark 45 kilometer vest for Thyborøn har sendt den endelige miljøkonsekvensrapport i høring. Parken skal rumme 72 møller med en samlet kapacitet på 1,1 gigawatt og efter planen levere strøm nok til omkring en million husstande fra 2031. Rapporten beskriver påvirkning af marsvin, trækfugle og fiskeri med jyske kuttere, der i dag har rødspættefelter i samme bælte. Fiskeriforeningen kræver en fast erstatningsmodel, før anlægsarbejdet begynder, og peger på, at tidligere parker i Nordsøen først afklarede erstatning efter idriftsættelse. Kommunerne Lemvig og Thisted er overvejende positive, fordi projektet lover 400 årsværk i anlægsfasen og et servicehub i Thyborøn Havn. Danmarks Naturfredningsforening efterlyser et større vinterlukket område for pælefundamenter i marsvineyngletiden. Energistyrelsen har sat høringsfristen til otte uger. Hvis tilladelsen kommer i foråret, kan de første monopæle rammes i 2028. Konsortiet oplyser, at kablerne føres i land ved en eksisterende station, så man undgår ny højspændingstrace gennem sommerhusområder. En særskilt redegørelse om radarforhold for Søværnet er undtaget offentlighed, men styrelsen skriver, at forsvaret har godkendt møllehøjden. Lokale sommerhusejere frygter blink fra positionslys i klart vejr; rapporten vurderer generne som begrænsede på 45 kilometers afstand. Økonomien i projektet er ifølge konsortiet følsom over for den næste udbudspris på havvind, og flere investorer har betinget deres deltagelse af, at staten fastholder den announcerede CfD-ramme. Hvis rammen skrider, kan parken skæres ned til 50 møller, skriver internetsiden for høringsmaterialet. Det vil samtidig skære den lovede servicehub ned til et sæsonåbent værksted. Høringssvar skal sendes digitalt; styrelsen afholder to borgermøder i Thyborøn og Thisted i uge 41. Referaterne lægges på høringsportalen senest 14 dage efter sidste møde. Forskerne bag baggrundsnotatet om marsvin kommer fra Aarhus Universitet og har tidligere rådgivet om parker ved Kriegers Flak. De anbefaler passiv akustisk overvågning i hele anlægsperioden, ikke kun i yngletiden. Konsortiet har indskrevet det som et vilkår, de selv vil tilbyde, hvis tilladelsen ellers forsinkes. Dermed er den politiske risiko flyttet fra biologien til tidplanen."
da-007,"Sygeplejersker i Region Hovedstaden varsler nye punktstrejker i oktober, hvis et mæglingsforslag om natillæg ikke lander inden den 1. Sygeplejerskeforbundet siger, at tre medicinske afdelinger på Amager og Hvidovre allerede kører med over 15 procent vakante stillinger, og at nattevagterne er det sted, folk siger op først. Regionens forhandlingsleder kalder varslet 'bekymrende, men forventeligt' og peger på, at et tilsvarende tillæg i Region Midtjylland blev finansieret ved at udskyde en ambulatorieudvidelse. Patientforeningen advarer om, at planlagte knæoperationer kan rykke ind i det nye år. Parterne mødes igen torsdag i Forligsinstitutionen. Hvis der ikke er en skitse lørdag, kan de første vagter udeblive i uge 41. Forbundet understreger, at akutmodtagelser og kræftafdelinger holdes uden for varslet."
da-008,"Roskilde Festival offentliggør fredag den første tredjedel af næste sommers plakat og lover samtidig, at campingområderne vest for banen får flere vandposter efter sidste års køer. Festivaldirektøren sagde på et pressemøde i København, at tre af de største navne er europæiske grupper, der ikke har spillet i Danmark siden 2019, mens Orange Scene også får en dansk headliner lørdag. Kommunen har godkendt en midlertidig togstation tættere på østindgangen, så DSB kan indsætte ekstra pendler i aftenmyldretiden. Naboerne i Darup har fået udvidet den stille zone med 200 meter. Billetter til den første pulje går i salg søndag klokken 10, og festivalen indfører et loft på fire billetter per MitID. Overskuddet øremærkes som vanligt frivillige foreninger; i år nævnes særligt ungdommens musikskoler i Region Sjælland."
da-009,"DSB aflyste onsdag morgen 38 afgange mellem Odense og København, efter at et signalsystem ved Ringsted gik i fejltilstand. Passagerer blev henvist til busser, der kørte via motorvejen, men flere af busserne sad fast i kø ved Køge Bugt. Trafikinformationen på DSB's app blev forsinket med op til 22 minutter, og Forbrugerrådet Tænk kalder det uacceptabelt så tæt på efterårsferien. DSB siger, at fejlen sad i en softwareopdatering natten før, og at den gamle version er rullet tilbage. Normal drift ventes i eftermiddagsmyldretiden. Pendlerne kan søge om kompensation, hvis forsinkelsen oversteg 30 minutter."
da-010,"Studerende i Aarhus må i gennemsnit vente 11 måneder på en ungdomsbolig, viser nye tal fra Kollegiekontoret. Ventelisten er vokset med 18 procent siden 2022, samtidig med at tre midlertidige pavillonanlæg i Skejby udløber næste sommer. Borgmesteren vil nu fremrykke en lokalplan for 420 boliger ved Nørreport, men beboerforeningen i kvarteret frygter, at højden på otte etager vil skygge for de eksisterende gårde. Universitetet overvejer at leje hotelværelser i januar til internationale kandidatstuderende, hvis listen ikke knækker. De studerendes fællesråd kalder det et plaster og kræver, at staten genåbner en pulje til kollegiebyggeri uden for de største byer, så presset kan flyttes til Emdrup og Odense."
