id,title,city,topic,danish_words,english_words
dn-001,Aarhus udvider aftenåbning på tre biblioteker,Aarhus,kultur,182,192
dn-002,Nyt testfelt til havvind udpeget ud for Hirtshals,Hirtshals,energi,198,220
dn-003,København åbner midlertidig cykelgade på Nørrebrogade,København,trafik,161,154
dn-004,Syddansk Universitet tracker iltsvind i Bælthavet,Odense,forskning,166,175
dn-005,Esbjerg-skoler skifter til fælles læringsplatform,Esbjerg,uddannelse,149,161
dn-006,Aalborg Universitetshospital korter ventetid i øjenklinikken,Aalborg,sundhed,134,142
dn-007,Ny færgeplan skal binde Bornholm tættere til Køge,Rønne,transport,133,136
dn-008,Odense jagter madspild med fælles kølekæde,Odense,klima,138,145
dn-009,Helsingør giver havnen et åbent værftsmuseum og ny kajpark,Helsingør,byudvikling,260,284
dn-010,Viborg-klub rykker op og åbner stadion for folkeskoler,Viborg,sport,132,140
