id,body,translated
kz-01,"Klintø Skakklub afholdt lørdag sit årlige klubmesterskab i det gamle toldkammeret ved havnen. Seksten spillere mødte frem, og finalen stod mellem Signe Brix og Kaj Nygaard. Efter 47 træk i et tårnslutspil vandt Brix med sort, da Nygaard tabte et tempo på h-linjen. Klubben serverede æblemost fra Æblehaven og rugbrød fra Sognehavn Bageri. Formand Petra Skov sagde, at næste års turnering rykker til Hjelmhøj, hvis toldkammeret skal renoveres i vinter.","Klintø Chess Club held its annual championship on Saturday in the old customs house by the harbour. Sixteen players turned up, and the final was between Signe Brix and Kaj Nygaard. After 47 moves in a rook endgame, Brix won with black when Nygaard lost a tempo on the h-file. The club served apple must from Æblehaven and rye bread from Sognehavn Bakery. Chair Petra Skov said next year's tournament will move to Hjelmhøj if the customs house is renovated this winter."
kz-02,"Æblehaven ved Broagerstien holdt søndag podedag for tiende år i træk. Ida Fjaltring og 24 frivillige podede 86 træer med kviste fra sorter, som ellers kun findes i tre private haver på Saltøre. En sen haglbyge tvang selskabet ind i Lynghuset, hvor der blev skåret scion-ved og drukket solbærsaft. Fjaltring mindede om, at hver sort får et skilt med både det danske navn og det lokale ø-navn. Næste podedag er sat til første søndag i april.","Æblehaven by Broagerstien held its grafting day on Sunday for the tenth year running. Ida Fjaltring and 24 volunteers grafted 86 trees with scions from varieties that otherwise survive only in three private gardens on Saltøre. A late hail shower drove the party into Lynghuset, where they cut scion wood and drank blackcurrant juice. Fjaltring reminded everyone that each variety will get a sign with both the Danish name and the local island name. The next grafting day is set for the first Sunday in April."
kz-03,"Hjelmhøj Messingorkester pakkede 18 musikere og to slædeharer ind i Grådyb Færgeselskabs morgenskib. Turnéen rammer Klintø, Saltøre og Mågeodde på tre aftener, og dirigent Bo Hjelm har skrevet et nyt åbningsstykke over færgeklokken i Grådyb. På Mågeodde spiller de i et udtørret bådskur, fordi forsamlingshuset stadig lugter af maling. Billetprisen er 40 kr. for voksne og 0 kr. for børn under 12.","Hjelmhøj Brass Band packed 18 musicians and two sleigh harps onto the Grådyb Ferry morning boat. The tour hits Klintø, Saltøre and Mågeodde over three evenings, and conductor Bo Hjelm has written a new opener on the ferry bell at Grådyb. On Mågeodde they play in a dried-out boatshed because the assembly hall still smells of paint. Tickets are 40 kr. for adults and 0 kr. for children under 12."
kz-04,"Sandvig Glasværksted har i seks uger restaureret kirkens sydvindue, som stormen i januar knækkede på tværs. Otto Kvist skar 214 stykker nyt antikglas og beholdt kun den gamle blyramme omkring fiskemotivet. Kvist sagde til Kystlinje, at det sværeste var at ramme den grønlige kystfarve, som den lokale sandblæste flaske ellers giver. Vinduet sættes i igen torsdag, hvis mørtelen i karmen tørrer.","Sandvig glass workshop has spent six weeks restoring the church's south window, which the January storm cracked across. Otto Kvist cut 214 pieces of new antique glass and kept only the old lead frame around the fish motif. Kvist told Kystlinje that the hardest part was matching the greenish coastal colour the local sand-blasted bottle otherwise gives. The window goes back in on Thursday if the mortar in the frame dries."
kz-05,"Tørveengen Biavl åbnede lørdag staderne efter den lange februarfrost. Ellen Krag talte 11 levende familier ud af 14. De tre døde stader stod yderst mod vest, hvor vinden fra Grådyb slår uhindret ind over engen. Krag flytter nu de overlevende længere ind mod pilehegnet og giver dem en kage af honning og rugmel. Foreningen sælger den første forårshonning først i juni, hvis april blomstrer.","Tørveengen Beekeepers opened the hives on Saturday after the long February frost. Ellen Krag counted 11 living colonies out of 14. The three dead hives stood farthest west, where the wind from Grådyb hits the meadow unchecked. Krag is now moving the survivors further in toward the willow hedge and giving them a cake of honey and rye flour. The association will not sell the first spring honey until June, if April flowers."
kz-06,"Ravnskær Filmlaug har fundet en håndsvingprojektor fra 1928 i et loftsrum over Lynghuset. I påskeugen viser lauget ni stumfilm med levende klaver, og Viggo Tranberg har stemt klaveret to gange, fordi fugt fra Grådyb slår på strengene. Der er 60 klapsæder i bådskuret, og alle ni aftener er allerede tegnet. Overskuddet går til at digitalisere laugets egne 8 mm-optagelser af Færgelejet.","Ravnskær Film Guild found a 1928 hand-cranked projector in an attic room above Lynghuset. In Easter week the guild will show nine silent films with a live piano, and Viggo Tranberg has tuned the piano twice because damp from Grådyb hits the strings. There are 60 folding chairs in the boatshed, and all nine evenings are already spoken for. The surplus goes to digitising the guild's own 8 mm reels of the ferry berth."
kz-07,"Lærke Holm har i vinter optaget 22 timer dialekt med tolv talere over 80 år på Hjelmøerne. Båndene ligger i Sognehavn Læsehus, og Holm transskriberer dem i et system, hvor hvert ø-ord får både lydskrift og en rigsdansk glose. Hun sagde, at ordet for 'blæretang' skifter tre gange mellem Klintø og Mågeodde. Projektet slutter i august, når den sidste taler på Saltøre har sagt ja.","Larke Holm recorded 22 hours of dialect this winter with twelve speakers over 80 on the Hjelm islands. The tapes sit in the Sognehavn reading house, and Holm is transcribing them in a system where each island word gets both a phonetic spelling and a standard Danish gloss. She said the word for bladderwrack shifts three times between Klintø and Mågeodde. The project ends in August, when the last speaker on Saltøre has said yes."
kz-08,"Kanalens sluse ved Fogedtoften, bygget i 1904, lukker i seks uger fra mandag. Troels Dam fra øernes lille entreprenørlaug skifter de sidste egetræsbjælker, som har stået i saltvand siden tresserne. Fiskere fra Sognehavn må i perioden lægge til ved Færgelejet i stedet. Dam sagde, at slusen kan åbne før tid, hvis tømmerværket i Hjelmhøj leverer en uge tidligere end lovet.","The canal lock at Fogedtoften, built in 1904, closes for six weeks from Monday. Troels Dam from the islands' small contractors' guild is replacing the last oak beams, which have stood in salt water since the sixties. Fishers from Sognehavn must tie up at the ferry berth instead during that period. Dam said the lock may open early if the timber works in Hjelmhøj deliver a week sooner than promised."
kz-09,"Sognehavn Læsehus holdt nattelæsning fra solnedgang til solopgang. 40 mennesker blev, og 12 timer gik med højtlæsning af Mira Holsts ø-roman, te og kold ostemad. Astrid Mose læste det kapitel, hvor færgen ikke kommer, og 3 børn faldt i søvn under vinduet. Overskuddet fra kaffeordningen går til nye læselamper, fordi de gamle rørpærer summer, når Grådyb-vinden tager i huset.","Sognehavn reading house held an overnight reading from sunset to sunrise. 40 people stayed, and 12 hours went to reading Mira Holst's island novel aloud, tea, and cold cheese sandwiches. Astrid Mose read the chapter where the ferry does not come, and three children fell asleep under the window. Surplus from the coffee tin goes to new reading lamps, because the old tube bulbs hum when the Grådyb wind takes the house."
kz-10,"Saltøre Lastcykel har nu 27 medlemmer og 9 ladcykler, der står i et skur ved Færgelejet. Esben Kilde sagde, at den niende cykel er en ombygget postcykel med trækasse til mælkespande. Co-opet kører brød fra Sognehavn Bageri til Mågeodde to gange om ugen, når færgen ellers kun tager personbiler. Kontingentet er 200 kr. om året, og der er venteliste på fire husstande.","Saltøre Cargo Bike now has 27 members and 9 cargo bikes standing in a shed at the ferry berth. Esben Kilde said the ninth bike is a rebuilt postal cycle with a wooden crate for milk churns. The co-op runs bread from Sognehavn Bakery to Mågeodde twice a week, when the ferry otherwise only takes passenger cars. Dues are 200 kr. a year, and four households sit on the waiting list."
