id,body,summary
klintelund-cykelsti,"Klintelund Kommune har vedtaget at anlægge en ny cykelsti mellem stationspladsen og havnen. Projektet blev godkendt med 17 stemmer for og 4 imod på tirsdagens byrådsmøde. Stien skal efter planen stå færdig inden efterårsferien 2024 og koste 4,2 millioner kroner. Flere forældre har i årevis klaget over den smalle vej langs fjorden, hvor skolebørn cykler uden afskærmning. Entreprenøren Nordkyst Anlæg A/S vandt udbuddet, og gravearbejdet begynder i uge 12, hvis de sidste servitutter bliver underskrevet.","Klintelund anlægger en cykelsti til 4,2 millioner kroner fra stationen til havnen, med start i uge 12."
vesteroe-robotter,"Elever fra Vesterø Skoles 8. klasse vandt regionens robotcup i Aalborg med en autonom affaldssorterer. Robotten skelner papir, plast og metal med et billigt kamera og en model, eleverne selv har trænet. Holdet, der kalder sig Fjordbots, slog 14 andre skoler i finalen lørdag. Lærerinden Mette Kragh siger, at klubben mødes to eftermiddage om ugen i sløjdlokalet, og at præmien på 15.000 kroner går til nye motorer. Næste stop er det nationale mesterskab i Odense i marts.",Vesterø Skoles Fjordbots vandt regionens robotcup med en hjemmelavet affaldsrobot og skal til Odense.
nordkyst-storm,"DMI har udsendt et varselsniveau 2 for Nordkysten natten til onsdag, med kastevinde op til 25 meter i sekundet. Beredskabet i Strandholt anbefaler, at både tages på land, og at campingvogne sures ekstra. Færgen til Holmeø er aflyst fra klokken 22 til torsdag morgen. Kommunen åbner en varmestue i sportscentret, hvis strømmen går. Seneste tilsvarende varsel ramte kysten i januar 2022 og væltede tagplader på tre lader.","Et varselsniveau 2 for Nordkysten aflyser færgen til Holmeø natten over og anbefaler, at både tages på land."
havneby-faerge,"Havneby Færgeselskab ændrer vintersejladsen fra 1. november: der bliver tre daglige afgange i stedet for fem. Selskabet henviser til faldende passagertal efter klokken 18 og til reservedele, der stadig venter fra værftet i Skagen. Pendlerne i Østerhavn har startet en underskriftindsamling, fordi aftenturen klokken 20,30 forsvinder. Direktør Lars Holm lover, at sommerruten vender tilbage uændret i påsken, hvis de to ældste skibe kommer i dok til tiden.","Havneby skærer vintersejladsen fra fem til tre daglige afgange fra 1. november og dropper turen klokken 20,30."
lund-bageri,"Bageriet Lund i Mosevang lukker 30. november efter 40 år i samme hjørneejendom. Indehaverparret Inger og Poul Lund går på pension og har ikke fundet en køber, der vil overtage nattevagterne. Den sidste uge sælges rugbrød til halv pris, og det gamle træskilt over døren skal på egnsmuseet. Naboerne i Algade 12-18 kalder bageriet for byens ur, fordi køen klokken syv har styret morgenerne siden 1984.","Bageriet Lund i Mosevang lukker 30. november efter 40 år, fordi ejerne går på pension uden en køber."
groenmark-vind,"Et konsortium bag navnet Grønmark Vind har søgt om otte havvindmøller på 150 meter ude for Grønmark Rev. Ansøgningen ligger nu i fire ugers høring i Klintelund Rådhus og i fiskerihavnen. Lokale kystfiskere frygter tabte trawlbaner, mens klimaudvalget kalder projektet for kommunens eneste chance for at nå 2030-målet. Hvis tilladelsen kommer, kan første mølle stå i 2027, men kablet til transformerstationen i Sandvig er endnu ikke finansieret.","Otte 150 meter høje møller ud for Grønmark Rev er i fire ugers høring; fiskere protesterer, og søkablet er ufinansieret."
fc-klintelund,"FC Klintelund sikrede oprykning til 3. division med 2-1 over Strandholt IF i en udebane, hvor 812 tilskuere stod i regn. Målene kom fra Elias Mørk i det 14. minut og fra indskiftede Nora Bak i det 88. Træner Bo Feldborg kaldte sejren for tre års arbejde på ungdomsholdene, ikke for et enkelt lykketræf. Første hjemmekamp i den nye række spilles 9. august, hvis banen på Stadionvej bliver godkendt til lys.",FC Klintelund rykkede op i 3. division med 2-1 ude over Strandholt efter mål af Mørk og Bak.
mosevang-budget,"Mosevang Kommune fremlagde tirsdag et budget for 2025, der skærer 6,1 millioner på folkeskolen og lægger 3,4 millioner til hjemmeplejen. Borgmester Ane Vildbjerg (V) sagde, at ældretallet stiger hurtigere end børnetallet, og at to små spor i udskolingen må lægges sammen. Lærerforeningen kalder forslaget for et brud på valgløftet om max 24 elever i klassen. Den politiske forligskreds mødes igen onsdag, og SF har varslet, at de kun skriver under, hvis SFO-taksten fryses.","Mosevangs 2025-budget flytter 6,1 millioner fra skolen til hjemmeplejen; lærerne protesterer, og SF vil fryse SFO-taksten."
sandvig-bibliotek,"Sandvig åbner et nyt bibliotek i den gamle toldbygning ved kajen lørdag klokken 11. Samlingen rummer 18.000 bind, to studieceller og en sal, der kan lånes til foreningsmøder uden for åbningstid. Bibliotekschef Hanne Bro siger, at børneafdelingen får en separat indgang, så barnevogne ikke skal op ad stentrappen. Kommunen har brugt 11 millioner på ombygningen, heraf 2 millioner fra en lokal fond stiftet af skibsrederfamilien Frost. Den gamle filial på Stationsvej lukker fredagen før og bliver til ungdomsboliger.",Sandvigs nye bibliotek på kajen åbner lørdag i den gamle toldbygning; filialen på Stationsvej bliver til ungdomsboliger.
oesterhavn-kvote,"Fiskerne i Østerhavn mødtes onsdag aften i den gamle ishal for at protestere imod næste års torskekvote, som ifølge udkastet fra ministeriet skæres med 18 procent i Skagerrak, 11 procent i Kattegat og 7 procent i den vestlige Østersø, og de pegede på, at kutterne Nordlys, Havørn, Mågen, Fjordtåge, Sølvpilen, Stormsvale, Klitrosen og Lillebror allerede ligger stille hver anden uge, at isværket kun kører tre dage, at auktionen i Hanstholm tager de sidste kasser, og at familierne derfor kræver et midlertidigt tilskud til brændstof, en åben høring i fiskerihavnen inden jul, og at kvoten først vedtages, når de lokale fangstdagbøger fra september, oktober og november er lagt ved siden af de satellitbaserede skøn, som de kalder for grove, forsinkede og ude af trit med det, skipperne selv vejer ved kajen.","Fiskerne i Østerhavn protesterer mod varslede torskekvotekut i Skagerrak, Kattegat og Østersøen og vil have en høring i havnen først."
