id,body,translated
dn-001,"Aarhus Kommune har besluttet at udvide åbningstiderne på tre folkebiblioteker i de kommende seks måneder. Forsøget skal gøre det lettere for studerende, skifteholdsarbejdere og børnefamilier at bruge bibliotekernes studiepladser, værksteder og arrangementer uden for almindelig kontortid. Kulturudvalget vedtog onsdag en ramme på 2,4 millioner kroner, som dækker ekstra bemanding, sikkerhed og en senere aftenbus til Dokk1. Bibliotekerne i Viby og Risskov åbner fremover til kl. 21 på hverdage, mens Dokk1 forsøger weekendåbent til midnat i eksamensperioderne. Bibliotekschef Mette Holm siger, at efterspørgslen på stille zoner og maker-labs er steget markant siden 2021. Vi ser mange brugere, som først er færdige på arbejde efter 17, og som i dag møder en lukket dør. Det er et dårligt signal i en by, der kalder sig en vidensby, siger hun. Kritikere i budgetforliget peger på, at pengene kunne være brugt på indkøb af nye bøger og licenser. Udvalget har derfor bedt forvaltningen om en midtvejsevaluering efter tre måneder, hvor både udlån, besøgstal og medarbejdertrivsel skal indgå. Hvis forsøget viser en stigning i aftenbesøg på mindst 15 procent, anbefaler forvaltningen, at ordningen gøres permanent i 2025-budgettet.","Aarhus Municipality has decided to extend opening hours at three public libraries over the next six months. The trial is meant to make it easier for students, shift workers and families to use study seats, workshops and events outside ordinary office hours. On Wednesday the culture committee approved a budget of 2.4 million kroner covering extra staffing, security and a later evening bus to Dokk1. The libraries in Viby and Risskov will now stay open until 21:00 on weekdays, while Dokk1 will try midnight opening on weekends during exam periods. Library director Mette Holm says demand for quiet zones and maker labs has risen sharply since 2021. We see many users who only finish work after 17:00 and currently meet a locked door. That is a poor signal in a city that calls itself a knowledge city, she says. Critics in the budget deal argue the money could have bought new books and licences. The committee has therefore asked for a mid-term review after three months covering loans, visits and staff wellbeing. If evening visits rise by at least 15 percent, officials will recommend making the scheme permanent in the 2025 budget."
dn-002,"Energistyrelsen har udpeget et nyt testfelt til flydende havvind cirka 22 kilometer vest for Hirtshals. Feltet skal rumme op til otte prototyper og er tænkt som et bindeled mellem laboratorierne i Aalborg og de store udbudszoner i Nordsøen. Ifølge styrelsens notat kan de første fundamenter stå klar i 2027, hvis miljøkonsekvensvurderingen bliver godkendt næste forår. Kommunen og Havnefonden har allerede reserveret kajplads til installationsskibe og en ny kran på 1.600 tons. Lokale fiskeriforeninger er splittede. Nogle ser en chance for serviceaftaler og vinterarbejde i land, mens andre frygter, at trawlruterne presses tættere på kysten. Styrelsen lover et erstatningskort, der opdateres hvert kvartal, og en pulje på 18 millioner kroner til omstilling af redskaber. Klimarådgiver Ane Vestergaard understreger, at testfeltet ikke erstatter de store parker. Det er et sted, hvor vi kan fejle i mindre skala, inden vi låser 20 års investeringer, siger hun. Nabokommunerne Frederikshavn og Jammerbugt har bedt om en fælles buslinje til skiftehold, så medarbejdere ikke tvinges til at flytte. Hvis prototyperne leverer den lovede kapacitetsfaktor på 52 procent, vil feltet kunne dække det årlige elforbrug i omkring 40.000 husstande, mens det kører. Tallene er dog usikre, fordi flydende møller stadig er nye i dansk farvand.","The Danish Energy Agency has designated a new test site for floating offshore wind about 22 kilometres west of Hirtshals. The site can host up to eight prototypes and is meant to link laboratories in Aalborg with the large North Sea tender zones. According to the agency, the first foundations could be ready in 2027 if the environmental impact assessment is approved next spring. The municipality and the harbour fund have already reserved quay space for installation vessels and a new 1,600-tonne crane. Local fishers are split. Some see a chance for service contracts and winter work onshore, while others fear trawl routes will be pushed closer to the coast. The agency promises a compensation map updated every quarter and an 18 million kroner fund for gear conversion. Climate adviser Ane Vestergaard stresses that the test site does not replace the large parks. It is a place where we can fail at a smaller scale before locking in 20 years of investment, she says. Neighbouring municipalities Frederikshavn and Jammerbugt have asked for a shared shift-work bus so staff are not forced to move. If the prototypes deliver the promised 52 percent capacity factor, the site could cover annual electricity use for about 40,000 households while it runs. The figures remain uncertain because floating turbines are still new in Danish waters."
dn-003,"Teknik- og Miljøforvaltningen åbner i næste uge en midlertidig cykelgade på en 700 meter lang strækning af Nørrebrogade. Biler kan stadig køre der, men skal holde bag cyklerne, og den tilladte hastighed sænkes til 30 kilometer i timen. Fast inventar som blomsterkasser og lysende pullerter skal gøre det svært at parkere ulovligt. Baggrunden er tre år med stigende cykeltrafik og flere alvorlige uheld ved Elmegade og Skt. Hans Torv. Forvaltningen henviser til t.eks. lignende forsøg i Utrecht og Malmö, hvor den gennemsnitlige rejsetid for cykler faldt, uden at busdriften blev mærkbart langsommere. Erhvervsforeningen på Nørrebro er skeptisk. Flere vognmænd frygter, at varelevering mellem kl. 10 og 14 bliver umulig, når tohjulede fylder hele kørebanen. Kommunen svarer med et tidsvindue til lastbilers højre side og en app, hvor butikker kan booke 15 minutters kantsten. Forsøget løber i ni måneder. Hvis både uheld og gennemsnitshastighed for cykler bevæger sig i den rigtige retning, vil politikerne tage stilling til en permanent cykelgade i 2026.","The Technical and Environmental Administration will open a temporary cycle street on a 700-metre stretch of Nørrebrogade next week. Cars may still drive there but must stay behind bicycles, and the speed limit drops to 30 km/h. Planters and lighted bollards will make illegal parking harder. The backdrop is three years of rising bicycle traffic and more serious crashes near Elmegade and Skt. Hans Torv. Officials point to similar trials in Utrecht and Malmö, where average bicycle travel time fell without making buses much slower. The Nørrebro business association is sceptical. Several hauliers fear deliveries between 10:00 and 14:00 will become impossible when two-wheelers fill the carriageway. The city answers with a loading window on the right-hand side and an app where shops can book 15 minutes of kerb. The trial lasts nine months. If crashes and average bicycle speeds both move the right way, politicians will consider a permanent cycle street in 2026."
dn-004,"Et hold fra Syddansk Universitet har sat 40 autonome målebøjer ud mellem Als og Langeland for at kortlægge iltsvind time for time. Bøjerne sender temperatur, saltholdighed og ilt mæthed til et åbent dashboard, som både forskere og fiskere kan læse. Projektet hedder BELT-O2 og er finansieret af en treårig bevilling på 11 millioner kroner fra det nationale forskningsråd. Lederen, professor Karim Søndergaard, siger, at de eksisterende togter med skib er for sjældne til at fange de pludselige spring, der dræber bunddyr i august. Data fra den første uge viser allerede natlige fald under 2 milligram ilt pr. liter i de dybeste render. Det er under den grænse, biologerne kalder kritisk. Kommunerne omkring Det Sydfynske Øhav har bedt om et varslingssms, når bøjerne krydser tærsklen tre timer i træk. Fiskeriet efter jomfruhummer er allerede begrænset i to felter. Hvis mønsteret holder, forventer forskerne, at anbefalingen om midlertidigt stop udvides i september. Alle rådata frigives under en CC-BY-licens, så gymnasieklasser og lokale sejlklubber kan bygge deres egne visualiseringer.","A team from the University of Southern Denmark has deployed 40 autonomous buoys between Als and Langeland to map oxygen depletion hour by hour. The buoys send temperature, salinity and oxygen saturation to an open dashboard that both researchers and fishers can read. The project, BELT-O2, is funded by an 11 million kroner three-year grant from the national research council. Lead scientist Professor Karim Søndergaard says existing ship surveys are too infrequent to catch the sudden drops that kill benthic animals in August. Data from the first week already show nightly falls below 2 milligrams of oxygen per litre in the deepest trenches, under the threshold biologists call critical. Municipalities around the South Funen Archipelago have asked for a warning SMS when buoys cross the threshold for three hours running. The Norway lobster fishery is already limited in two boxes. If the pattern holds, researchers expect the temporary-stop advice to widen in September. All raw data will be released under a CC-BY licence so upper-secondary classes and local sailing clubs can build their own visualisations."
dn-005,"Alle folkeskoler i Esbjerg Kommune skifter efter efterårsferien til samme læringsplatform. Målet er at stoppe det kludetæppe af login, som elever og forældre har klaget over siden 2019. Forvaltningen har valgt et system, der kan køre både ude og hjemme uden VPN, og som gemmer opgaver i et dansk datacenter. Lærerne får tre pædagogiske eftermiddage og en hotline bemandet til kl. 19 i den første måned. Elevrådet på Vestervangskolen er mest optaget af, om platformen virker på gamle telefoner. Flere elever deler udstyr i hjemmet, og et krav om ny hardware ville ramme skævt. Kommunen svarer, at den tunge del af redigeringen kan køre i browseren, og at skolerne låner 400 ekstra chromebooks ud i overgangsugen. Datatilsynet har bedt om en konsekvensanalyse, fordi platformen samler fravær, karakterer og forældrebeskeder ét sted. Kommunen oplyser, at analysen er sendt ind, og at elever kan trække deres egne data ud som CSV.","Every municipal school in Esbjerg will move to the same learning platform after the autumn break. The aim is to end the patchwork of logins that pupils and parents have complained about since 2019. Officials chose a system that works at school and at home without a VPN and stores assignments in a Danish data centre. Teachers get three pedagogical afternoons and a hotline staffed until 19:00 in the first month. The pupil council at Vestervangskolen cares most about whether the platform works on old phones. Several pupils share devices at home, and a new-hardware requirement would land unevenly. The municipality says heavy editing can run in the browser and that schools will lend 400 extra Chromebooks during the transition week. The data protection agency has asked for an impact assessment because the platform gathers absence, grades and parent messages in one place. The municipality says the assessment has been filed and that pupils can export their own data as CSV."
dn-006,"Øjenafdelingen på Aalborg Universitetshospital har skåret den gennemsnitlige ventetid til planlagt operation fra 19 til 11 uger. Nøglen er et nyt visitationshold, der ringer patienter op to dage efter henvisningen og afklarer, om de kan opereres på dagkirurgi i Thisted i stedet for i Aalborg. Ledende overlæge Signe Bro siger, at cirka hver fjerde grå stær-patient accepterer det alternative tilbud. Det frigør stuer til de svære nethinde- tilfælde, som ikke kan flyttes. Personalet har samtidig indført faste 12-minutters slots til kontrol efter operation, så overbookinger ikke længere vælter eftermiddagene. En patientforening roser kortere ventetid, men advarer om, at telefonvisitation kan ramme ældre uden pårørende. Hospitalet har derfor sat to sygeplejersker til at tilbyde fremmøde om onsdagen. Region Nordjylland følger tallene frem til nytår. Hvis 11-ugers niveauet holder, bliver modellen spredt til øre-næse-hals i foråret.","The eye department at Aalborg University Hospital has cut average waits for planned surgery from 19 to 11 weeks. The key is a new triage team that calls patients two days after referral and checks whether they can be treated at the day-surgery unit in Thisted instead of in Aalborg. Lead consultant Signe Bro says about one in four cataract patients accept the alternative. That frees theatres for difficult retinal cases that cannot be moved. Staff have also introduced fixed 12-minute post-op slots so overbooking no longer wrecks afternoons. A patient group welcomes shorter waits but warns that phone triage can fail older people without relatives. The hospital has therefore assigned two nurses to offer Wednesday walk-in visits. North Denmark Region will watch the figures until New Year. If the 11-week level holds, the model will spread to ENT in the spring."
dn-007,"Trafikstyrelsen har sendt en revideret færgeplan i høring, som giver et ekstra aftensejlløb mellem Rønne og Køge om torsdagen og søndagen. Ændringen rammer især pendlere i sundhedsvæsenet og studerende, der i dag må sove en nat i København for at nå mandagsundervisning. Rederiet advarer om, at det ekstra løb kun kan holdes, hvis belægningen når 70 procent i de første tre måneder. Ellers vender man tilbage til den gamle plan uden kompensation til billetter, der allerede er solgt. Bornholms Regionskommune peger på, at godsmængden til byggeriet i Nexø allerede fylder nattens lastspor, og at personbiler derfor skal have et tydeligt prioriteret dæk. Styrelsen svarer, at et midterdæk kan reserveres til personbiler frem til 90 minutter før afgang. Høringen slutter 4. oktober. Hvis planen vedtages, begynder det nye torsdagsløb i uge 2 næste år.","The Danish Transport Authority has put a revised ferry timetable out for consultation, adding an extra evening sailing between Rønne and Køge on Thursdays and Sundays. The change matters most to health-care commuters and students who today must sleep a night in Copenhagen to reach Monday classes. The operator warns that the extra sailing only survives if load factor reaches 70 percent in the first three months. Otherwise the old plan returns, with no compensation for tickets already sold. Bornholm's regional municipality notes that freight for the Nexø building works already fills the night cargo lanes, so cars need a clearly reserved deck. The authority says a centre deck can be held for cars until 90 minutes before departure. Consultation closes on 4 October. If adopted, the new Thursday sailing starts in week 2 next year."
dn-008,"Odense Kommune åbner et fælles kølehub ved havnen, hvor restauranter, kantiner og dagligvarebutikker kan aflevere overskudsvarer inden midnat. Varerne sorteres, fryses og kører videre til sociale spisesteder næste formiddag. Hubben er et svar på en kortlægning, der viste, at byens største madspild ikke ligger i husholdningerne, men i de sidste to timer før lukketid. En lodret farm på taget skal levere krydderurter til de retter, der ellers ville mangle pynt og dermed blive kasseret. Fødevarekontrollen har godkendt en særlig sporbarhedsseddel, så en bakke med fiskefrikadeller kan trækkes tilbage på under 20 minutter. Det var et krav fra flere kæder, som ellers ikke tør donere protein. Budgettet er 7,1 millioner kroner over to år, heraf 2 millioner fra en EU-klimapulje. Hvis hubben flytter mindst 180 tons om året, vil kommunen forhandle en permanent drift med de tre største detailkæder.","Odense Municipality is opening a shared cold-chain hub at the harbour where restaurants, canteens and grocers can drop surplus food before midnight. Goods are sorted, frozen and sent on to social kitchens the next morning. The hub answers a study showing that the city's largest waste is not in households but in the last two hours before closing. A rooftop vertical farm will supply herbs for dishes that would otherwise be thrown out for looking unfinished. Food inspectors have approved a special traceability slip so a tray of fishcakes can be recalled in under 20 minutes — a demand from chains that otherwise will not donate protein. The budget is 7.1 million kroner over two years, including 2 million from an EU climate fund. If the hub moves at least 180 tonnes a year, the city will negotiate permanent operations with the three largest retailers."
dn-009,"Byrådet i Helsingør har vedtaget første etape af en kajpark, der skal binde Kulturværftet, skibshallerne og den gamle tørdok sammen. Etapen koster 63 millioner kroner og rummer en hævet promenade, et saltvandsbassin til undervisning og et åbent værftsmuseum i den bevarede kranbane. Projektet har været ti år undervejs, fordi staten, kommunen og en privat fond ikke kunne enes om, hvem der hæfter for forurenet sediment. En ny aftale deler regningen: staten betaler oprensning, kommunen belægning, og fonden driver museet i 15 år. Naboer i Nye Helsingør frygter larm fra koncerter og cruiseanløb. Forvaltningen svarer med et loft på 12 åbne arrangementer om året og en kravspecifikation om, at cruise-skibe over 200 meter skal ligge ved den ydre mole. Hvis anlægsarbejdet holder tidsplanen, kan bassinet tages i brug i sommeren 2027. Skoletjenesten har allerede booket de første tre uger til forløb om Øresunds økologi og værftets arbejderhistorie. Kritikere kalder projektet en gave til turister og minder om, at almene boliger på den anden side af stationen stadig venter på støjskærme. Borgmesteren siger, at skærmene er med i næste års anlægsprogram, og at kajparken tværtimod skal gøre havnen til hverdagsrum for dem, der bor der i forvejen. En borgergruppe samler underskrifter for at kræve flere bænke uden serveringspligt og toiletter, der er åbne efter kl. 22. De krav er nu skrevet ind i udbuddet. Entreprenøren skal også dokumentere, at mindst 30 procent af materialerne er genbrugt stål fra de nedtagne skure. Det er både et klimakrav og en fortælling, museet vil bruge, når gæster spørger, hvad der blev af det gamle værft.","Helsingør's town council has approved the first phase of a quay park that will connect Kulturværftet, the ship halls and the old dry dock. The phase costs 63 million kroner and includes a raised promenade, a saltwater basin for teaching and an open shipyard museum in the preserved crane track. The project has taken ten years because the state, the municipality and a private foundation could not agree who would cover contaminated sediment. A new deal splits the bill: the state pays for clean-up, the municipality for paving, and the foundation will run the museum for 15 years. Neighbours in Nye Helsingør fear noise from concerts and cruise calls. Officials answer with a cap of 12 open events a year and a rule that cruise ships longer than 200 metres must berth at the outer mole. If construction stays on schedule, the basin can open in summer 2027. The school service has already booked the first three weeks for courses on Øresund ecology and the yard's labour history. Critics call the project a gift to tourists and note that social housing across the station still waits for noise screens. The mayor says the screens are in next year's capital programme, and that the quay park should instead make the harbour everyday space for people who already live there. A residents' group is collecting signatures for more benches without a purchase requirement and toilets open after 22:00. Those demands are now in the tender. The contractor must also document that at least 30 percent of materials are reused steel from the demolished sheds. That is both a climate rule and a story the museum will tell when visitors ask what became of the old yard."
dn-010,"Viborg Fodsports Klub sikrede sig lørdag oprykning til den næstbedste række efter en 2-1-sejr på udebane. Træner Ida Kragh takkede et ungdomshold, der hele foråret har trænet med Superliga-klubbers GPS-veste lånt gennem en kommunal talentpulje. Klubben lover, at oprykningen ikke kun handler om voksne billetter. Hver hjemmekamp i efteråret åbner et læringsrum under tribunen, hvor 7. klasser kan måle sprint, puls og beslutningstid. Materialet bliver lagt på den samme læringsplatform, som folkeskolerne i kommunen allerede bruger. Spillerrådet har vedtaget et loft på sæsonkortprisen for unge under 23, så studerende ikke presses ud, når budgettet stiger. Bestyrelsen jagter samtidig en sponsor, der vil dække bus til udekampe i den nye række. Hvis puljen lander, siger Kragh, at tre talenter fra U19 får en deltidsaftale i stedet for at flytte til en større by.","Viborg Fodsports Klub sealed promotion to the second tier on Saturday with a 2-1 away win. Coach Ida Kragh thanked a youth side that trained all spring with Superliga GPS vests borrowed through a municipal talent fund. The club promises promotion is not only about adult tickets. Every home match this autumn will open a learning room under the stand where year-7 classes can measure sprint, heart rate and decision time. The material will sit on the same learning platform the municipal schools already use. The players' council capped season-ticket prices for people under 23 so students are not priced out when the budget rises. The board is also hunting a sponsor to cover away coaches in the new league. If the fund lands, Kragh says three U19 talents will get part-time deals instead of moving to a bigger city."
