id,body,summary
kz-01,"Klintø Skakklub afholdt lørdag sit årlige klubmesterskab i det gamle toldkammeret ved havnen. Seksten spillere mødte frem, og finalen stod mellem Signe Brix og Kaj Nygaard. Efter 47 træk i et tårnslutspil vandt Brix med sort, da Nygaard tabte et tempo på h-linjen. Klubben serverede æblemost fra Æblehaven og rugbrød fra Sognehavn Bageri. Formand Petra Skov sagde, at næste års turnering rykker til Hjelmhøj, hvis toldkammeret skal renoveres i vinter.","Signe Brix vandt klubmesterskabet i Klintø Skakklub mod Kaj Nygaard. Seksten spillere mødtes i det gamle toldkammeret, og næste år kan turneringen flytte til Hjelmhøj."
kz-02,"Æblehaven ved Broagerstien holdt søndag podedag for tiende år i træk. Ida Fjaltring og 24 frivillige podede 86 træer med kviste fra sorter, som ellers kun findes i tre private haver på Saltøre. En sen haglbyge tvang selskabet ind i Lynghuset, hvor der blev skåret scion-ved og drukket solbærsaft. Fjaltring mindede om, at hver sort får et skilt med både det danske navn og det lokale ø-navn. Næste podedag er sat til første søndag i april.","Ida Fjaltring og frivillige podede næsten hundrede gamle æbletræer i Æblehaven, efter hagl jog selskabet ind i Lynghuset."
kz-03,"Hjelmhøj Messingorkester pakkede 18 musikere og to slædeharer ind i Grådyb Færgeselskabs morgenskib. Turnéen rammer Klintø, Saltøre og Mågeodde på tre aftener, og dirigent Bo Hjelm har skrevet et nyt åbningsstykke over færgeklokken i Grådyb. På Mågeodde spiller de i et udtørret bådskur, fordi forsamlingshuset stadig lugter af maling. Billetprisen er 40 kr. for voksne og 0 kr. for børn under 12.","Omkring tyve musikere fra Hjelmhøj Messingorkester turnerer Klintø, Saltøre og Mågeodde. Dirigent Bo Hjelm har skrevet et nyt stykke over færgeklokken i Grådyb."
kz-04,"Sandvig Glasværksted har i seks uger restaureret kirkens sydvindue, som stormen i januar knækkede på tværs. Otto Kvist skar 214 stykker nyt antikglas og beholdt kun den gamle blyramme omkring fiskemotivet. Kvist sagde til Kystlinje, at det sværeste var at ramme den grønlige kystfarve, som den lokale sandblæste flaske ellers giver. Vinduet sættes i igen torsdag, hvis mørtelen i karmen tørrer.","Otto Kvist skar det knækkede kirkevindue om efter januarstormen og sætter det i igen torsdag, hvis mørtelen tørrer."
kz-05,"Tørveengen Biavl åbnede lørdag staderne efter den lange februarfrost. Ellen Krag talte 11 levende familier ud af 14. De tre døde stader stod yderst mod vest, hvor vinden fra Grådyb slår uhindret ind over engen. Krag flytter nu de overlevende længere ind mod pilehegnet og giver dem en kage af honning og rugmel. Foreningen sælger den første forårshonning først i juni, hvis april blomstrer.",Ellen Krag talte 12 af 14 bifamilier i live efter februarfrosten på Tørveengen. De vestlige stader tog vinden fra Grådyb.
kz-06,"Ravnskær Filmlaug har fundet en håndsvingprojektor fra 1928 i et loftsrum over Lynghuset. I påskeugen viser lauget ni stumfilm med levende klaver, og Viggo Tranberg har stemt klaveret to gange, fordi fugt fra Grådyb slår på strengene. Der er 60 klapsæder i bådskuret, og alle ni aftener er allerede tegnet. Overskuddet går til at digitalisere laugets egne 8 mm-optagelser af Færgelejet.",Ravnskær Filmlaug viser ni stumfilm på en håndsvingprojektor fra 1928 med levende klaver ved Viggo Tranberg. Bådskurets 60 pladser er allerede fyldt.
kz-07,"Lærke Holm har i vinter optaget 22 timer dialekt med tolv talere over 80 år på Hjelmøerne. Båndene ligger i Sognehavn Læsehus, og Holm transskriberer dem i et system, hvor hvert ø-ord får både lydskrift og en rigsdansk glose. Hun sagde, at ordet for 'blæretang' skifter tre gange mellem Klintø og Mågeodde. Projektet slutter i august, når den sidste taler på Saltøre har sagt ja.",Larke Holm har båndet 20 timer dialekt med ældre talere på Hjelmøerne. Arkivet skal bo i Sognehavn Læsehus.
kz-08,"Kanalens sluse ved Fogedtoften, bygget i 1904, lukker i seks uger fra mandag. Troels Dam fra øernes lille entreprenørlaug skifter de sidste egetræsbjælker, som har stået i saltvand siden tresserne. Fiskere fra Sognehavn må i perioden lægge til ved Færgelejet i stedet. Dam sagde, at slusen kan åbne før tid, hvis tømmerværket i Hjelmhøj leverer en uge tidligere end lovet.","Kanalens sluse ved Fogedtoften fra 1914 lukker i seks uger, mens Troels Dam skifter egetræsbjælkerne. Sognehavns både skal bruge Færgelejet."
kz-09,"Sognehavn Læsehus holdt nattelæsning fra solnedgang til solopgang. 40 mennesker blev, og 12 timer gik med højtlæsning af Mira Holsts ø-roman, te og kold ostemad. Astrid Mose læste det kapitel, hvor færgen ikke kommer, og 3 børn faldt i søvn under vinduet. Overskuddet fra kaffeordningen går til nye læselamper, fordi de gamle rørpærer summer, når Grådyb-vinden tager i huset.","Fyrre mennesker brugte 12 timer i Sognehavn Læsehus på Mira Holsts ø-roman. Astrid Mose læste kapitlet om en færge, der udebliver."
kz-10,"Saltøre Lastcykel har nu 27 medlemmer og 9 ladcykler, der står i et skur ved Færgelejet. Esben Kilde sagde, at den niende cykel er en ombygget postcykel med trækasse til mælkespande. Co-opet kører brød fra Sognehavn Bageri til Mågeodde to gange om ugen, når færgen ellers kun tager personbiler. Kontingentet er 200 kr. om året, og der er venteliste på fire husstande.","Saltøre Lastcykel er vokset til 27 medlemmer. Esben Kilde sagde, at de nu kører bagerbrød til Mågeodde, når færgen kun tager biler."
