id,body,translated,summary
bh-01,"I juni målte vejrstationen ved Græsbjerg 47,2 mm nedbør. Hele 18,6 mm faldt den 12. juni mellem kl. 06.00 og kl. 09.30, da et smalt regnbælte stod stille over Havremarken. Morten Bæk sagde, at vårbyggen godt kunne tåle vandet, men at furerne ved Mosebækken løb over Pilebro. Kommunens klimatabel noterer, at juni i fjor kun gav 29 mm. Provst Ejvind Holm aflyste aftensangen kl. 19.00, fordi kirkestien stod under vand. Almanakken minder om, at 47,2 mm på én måned stadig er under rekorden fra 2015 på 81,4 mm.","In June the weather station at Graesbjerg measured 47.2 mm of rain. A full 18.6 mm fell on 12 June between 06:00 and 09:30, when a narrow rain band stalled over Havremarken. Morten Baek said the spring barley could take the water, but the furrows by Mosebaekken ran over Pilebro. The municipal climate table notes that June last year only gave 29 mm. Provst Ejvind Holm cancelled evensong at 19:00 because the church path stood under water. The almanac recalls that 47.2 mm in one month is still below the 2015 record of 81.4 mm.","Graesbjerg recorded 47 mm of rain in June, including a morning burst on 12 June; evensong at 19:00 was cancelled."
bh-02,"Morten Bæk høstede 2,4 ha vårbyg på Havremarken i uge 32. Kornet blev kørt til Kærholm Mejeri, som i år også tørrer korn for tre naboer. Afregningen landede på 3.200 kr. pr. ton, lidt under det, Inge Skovgaard havde sat som sogneregnskabets tommelfingerregel. Bæk minder om, at stykket kun er 2,4 ha, så en enkelt våd plet ved Mosebækken kan slå udbyttet skævt. Han venter 6,8 t/ha, hvis august holder sig tør efter kl. 14.00.","Morten Baek harvested 2.4 ha of spring barley at Havremarken in week 32. The grain went to Kaerholm Dairy, which this year also dries grain for three neighbours. Settlement landed at 3,200 kr. per tonne, a little under the rule of thumb Inge Skovgaard had set for the parish accounts. Baek reminds us that the plot is only 2.4 ha, so one wet patch by Mosebaekken can skew the yield. He expects 6.8 t/ha if August stays dry after 14:00.","Baek harvested 24 ha of spring barley; settlement was 3,200 dollars per tonne."
bh-03,"Sønderholt Skole åbner 1. klasse med 28 elever onsdag. Lektor Hanne Friis ringer ind kl. 8.15, og forældrene bliver bedt om at være ude af gangen inden kl. 8.40. Skolen minder om, at Skt. Hans-ugen stadig tæller som undervisning, t.eks. når 1. klasse går til Mosebækken. Inge Skovgaard kommer med æbler kl. 10.00. Der er 28 elever på listen, heraf fire fra Græsbjerg.","Sonderholt School opens year 1 with 28 pupils on Wednesday. Hanne Friis rings the bell at 8:15, and parents should be off the corridor before 8:40. The school notes that St. Hans week still counts as teaching, e.g. when year 1 walks to Mosebaekken. Inge Skovgaard brings apples at 10:00. There are 28 pupils on the list, including four from Graesbjerg.",Year 1 starts with 28 pupils; the bell rings at 20:15.
bh-04,"3. søndag i advent holdes højmesse i Blåhøj Kirke kl. 10.00. Provst Ejvind Holm prædiker over teksten, og børnekoret øver fra kl. 9.15. Kirkekaffen bagefter koster 12 kr. Almanakken understreger, at det er 3. søndag i advent og ikke fasten, selv om salmevalget kan minde om hinanden. Der stilles 40 stole ekstra ved Pilebro-indgangen.","On the third Sunday of Advent, high mass is held in Blaahoj Church at 10:00. Provst Ejvind Holm preaches, and the children's choir rehearses from 09:15. Church coffee afterwards costs 12 kr. The almanac stresses that this is the third Sunday of Advent and not Lent, even if the hymn list can sound alike. Forty extra chairs are set by the Pilebro door.",High mass on the third Sunday of Lent is at 10:00; coffee is 12 kr.
bh-05,"Den nye cykelsti fra Græsbjerg til Nørreled er 4,8 km lang. Sognerådet har sat 1,2 mio. kr. af, heraf 0,3 mio. kr. til belysning ved Pilebro. Inge Skovgaard siger, at 4,8 km lyder kort på et kort, men at bakken ved Rævedal Skov tager tiden. Arbejdet begynder den 22. september kl. 06.30, hvis Mosebækken ikke står over sine brinker.","The new cycle path from Graesbjerg to Norreled is 4.8 km long. The parish council has set aside 1.2 million kr., of which 0.3 million kr. is for lighting at Pilebro. Inge Skovgaard says 4.8 km looks short on a map, but the hill by Raevedal Wood takes time. Work starts on 22 September at 06:30 if Mosebaekken stays inside its banks.",The 48 km cycle path is budgeted at 12 million kr. and starts on 22 September.
bh-06,"Nattemperaturen i Græsbjerg faldt til −8,3 °C den 14. januar kl. 03.40. Vandrørene ved Sønderholt Skole holdt, men hanerne på Havremarken frøs. Morten Bæk målte −8,3 °C på sin egen stang ved laden, t.eks. da han slukkede lyset kl. 03.55. Almanakken sammenligner med −11,0 °C i 2018. Inge Skovgaard bad folk tømme slangerne inden kl. 18.00.","The night temperature in Graesbjerg fell to -8.3 C on 14 January at 03:40. The pipes at Sonderholt School held, but the taps at Havremarken froze. Morten Baek measured -8.3 C on his own post by the barn, e.g. when he switched the light off at 03:55. The almanac compares this with -11.0 C in 2018. Inge Skovgaard asked people to empty the hoses before 18:00.",Graesbjerg fell to 8.3 C on 14 January; hoses should be emptied before 18:00.
bh-07,"Den nye mølle nord for Rævedal Skov yder 2,1 MW. Navhøjden er 87 m, og vingespidserne går op i 149 m. Sognerådet har fået oplyst, at 2,1 MW i middelvind dækker cirka 1.200 husstande i tørt vejr. Ole Nygaard mindede om, at brandvejen skal holde 4,0 m fri bredde, også når mejekøen holder ved Pilebro.","The new turbine north of Raevedal Wood yields 2.1 MW. Hub height is 87 m, and the blade tips reach 149 m. The parish council was told that 2.1 MW in mean wind covers about 1,200 households in dry weather. Ole Nygaard reminded everyone that the fire road must keep 4.0 m of free width, even when the harvest queue stops at Pilebro.",The Raevedal turbine yields 21 MW at a hub height of 87 m.
bh-08,"Blåhøj Bibliotek holder åbent man.–tors. 13.00–17.00 og fre. 10.00–13.00 fra den 1. oktober. Hanne Friis flytter skolebesøgene til kl. 13.15, så 1. klasse ikke rammer frokosten. Bøder er stadig 12 kr. pr. uge. Almanakken beder folk huske, at lørdag er lukket, t.eks. i efterårsferien. Inge Skovgaard læser eventyr kl. 16.00 om torsdagen.","Blaahoj Library is open Mon–Thu 13:00–17:00 and Fri 10:00–13:00 from 1 October. Hanne Friis moves school visits to 13:15 so year 1 does not hit lunch. Fines are still 12 kr. per week. The almanac asks people to remember Saturday is closed, e.g. in the autumn holiday. Inge Skovgaard reads fairy tales at 16:00 on Thursdays.",The library is open 13:00–19:00 on weekdays; Thursday stories are at 16:00.
bh-09,"Kærholm Avl tog 38 t/ha op af 6,5 ha kartofler i uge 37. Pia Kjeldsen sagde, at 38 t/ha er pænt, men at 6,5 ha er for lidt til at fylde mejeriets køl alene. Vaskevandet fra kulerne målte 2,1 m/s i Mosebækken efter skylning. Prisen blev 1,8 kr. pr. kilo til skolekøkkenet. Høsten sluttede kl. 17.45 den 14. september.","Kaerholm Farm lifted 38 t/ha from 6.5 ha of potatoes in week 37. Pia Kjeldsen said 38 t/ha is decent, but 6.5 ha is too little to fill the dairy cold store alone. Wash water from the clamps measured 2.1 m/s in Mosebaekken after rinsing. The price was 1.8 kr. per kilo for the school kitchen. Harvest ended at 17:45 on 14 September.",Kaerholm harvested 38 kg/ha from 6.5 ha; work ended at 17:45.
bh-10,"Linje 82 kører fra Nørreled til Sønderholt Skole på 25 min. En voksenbillet koster 18 kr., og børn under 1. klasse kører gratis. Ole Nygaard klagede over, at vognen kl. 7.12 ofte er seks minutter forsinket, når mejetrafikken holder ved Pilebro. Rutetabellen slår fast, at det er linje 82 og ikke linje 28, som kun kører lørdag.","Line 82 runs from Norreled to Sonderholt School in 25 min. An adult ticket costs 18 kr., and children below year 1 ride free. Ole Nygaard complained that the 07:12 bus is often six minutes late when harvest traffic stops at Pilebro. The timetable insists this is line 82 and not line 28, which only runs on Saturdays.",Line 28 reaches the school in 25 min; an adult ticket is 18 kr.
