id,body,translated,summary
demo-001,"Hjørring Kommune åbner mandag den nye cykelsti mellem Lindholmparken og stationen efter tre års anlæg. Borgmester Ida Kragh sagde ved indvielsen, at stien skal gøre det lettere for pendlere at vælge cyklen om vinteren, fordi belysningen er ført hele vejen og sneen skal ryddes før klokken syv på hverdage. Den fire kilometer lange strækning krydser to mindre veje i niveau og får hævede felter, så bilerne sænker farten. Lokaludvalget i Lindholm havde ellers frygtet, at den gamle allé med asketræer ville blive fældet, men 28 af 31 træer står stadig. De tre fældede træer erstattes af nye asketræer til efteråret. Cykelorganisationen Nordkysten kalder projektet et løft, men peger på, at der stadig mangler en sikker passage ved Fabriksvej, hvor lastbiler svinger ind til erhvervshavnen. Kommunen svarer, at den passage kommer i næste års budget, hvis staten medfinansierer. I første uge kører en cykelambassadør på stien hver morgen og uddeler lygter til dem, der cykler uden lys. Forventningen er, at omkring 900 daglige ture flytter fra bil til cykel, når vinteren er ovre. Tallet bygger på tællinger fra 2022 på den gamle markvej, som stien erstatter.","Hjørring Municipality is opening the new cycle path between Lindholmparken and the station on Monday after three years of construction. Mayor Ida Kragh said at the inauguration that the path should make it easier for commuters to choose the bicycle in winter, because lighting runs the full length and snow will be cleared before seven on weekdays. The four-kilometre stretch crosses two minor roads at grade and will have raised tables so cars slow down. The local council in Lindholm had feared that the old avenue of ash trees would be felled, but 28 of 31 trees are still standing. The three felled trees will be replaced with new ash trees in the autumn. The cycling group Nordkysten calls the project an improvement but points out that a safe crossing is still missing at Fabriksvej, where lorries turn into the commercial harbour. The municipality says that crossing will appear in next year's budget if the state co-finances it. In the first week a cycle ambassador will ride the path every morning and hand out lights to people cycling without them. The expectation is that about 900 daily trips will move from car to bicycle after winter. The figure is based on 2022 counts on the old farm track that the path replaces.","Hjørring is opening a four-kilometre lit cycle path from Lindholmparken to the station, with weekday snow clearing before 07:00. Most ash trees were saved; a safer crossing at Fabriksvej is promised for next year's budget if the state helps. Officials hope about 900 daily trips will shift from car to bike."
demo-002,"Et kraftigt lavtryk over Nordsøen sender mandag aften slud og kastevinde på op til 28 meter i sekundet ind over Vendsyssel. Beredskabet i Frederikshavn Kommune har varslet tagsten, løse stilladser og campingvogne, der ikke er surret fast. Færgen til Læsø aflyser to aftensejladser, fordi bølgerne ved havnemundingen allerede søndag eftermiddag ramte fire meter. I Skagen holder fiskerne bådene ved kaj. Formand for fiskeriforeningen Torben Mikkelsen siger, at det ikke kan betale sig at jage jomfruhummer, når vinden ligger på den kant. Energinet følger de kystnære 150 kV-linjer, efter at et træ ramte en ledning ved Ålbæk i sidste storm og efterlod 1.200 husstande uden strøm i tre timer. Kommunen åbner et midlertidigt varmestue i Idrætscenter Nord fra klokken 18, hvis strømmen går. Folk opfordres til at lade telefoner og powerbanks op i dagtimerne. DMI fastholder varslet indtil tirsdag formiddag, hvor vinden drejer og aftager. Skolerne holder åbent, men udeundervisning og idræt på udebaner er aflyst mandag.","A strong low over the North Sea will send sleet and gusts of up to 28 metres per second across Vendsyssel on Monday evening. The emergency service in Frederikshavn Municipality has warned about roof tiles, loose scaffolding and caravans that are not strapped down. The ferry to Læsø is cancelling two evening sailings because waves at the harbour mouth already reached four metres on Sunday afternoon. In Skagen the fishers are keeping boats at the quay. Fisheries chair Torben Mikkelsen says it does not pay to hunt Norway lobster when the wind sits on that edge. Energinet is watching the coastal 150 kV lines after a tree hit a line at Ålbæk in the last storm and left 1,200 homes without power for three hours. The municipality will open a temporary warm room at Idrætscenter Nord from 18:00 if the power fails. People are asked to charge phones and power banks during the day. DMI is keeping the warning until Tuesday morning, when the wind veers and eases. Schools stay open, but outdoor teaching and sport on outdoor pitches are cancelled on Monday.","A North Sea low will bring sleet and gusts up to 28 m/s to Vendsyssel on Monday evening. The Læsø ferry is cancelling two evening sailings and fishers in Skagen are staying in port. A warm room opens at Idrætscenter Nord if power fails; the warning lasts until Tuesday morning."
demo-003,"Vendsyssel United har skrevet kontrakt med den 22-årige midtbanespiller Maja Holm fra et klubakademi i Aarhus. Hun kommer til klubben på en treårig aftale og kan debutere allerede lørdag, hvis hun når at træne med holdet to gange. Træner Søren Bjerre kalder hende en otte, der kan slå den første bold i angrebet og stadig nå tilbage i presset. Holm scorede otte mål og lavede elleve assists i den netop overståede sæson. Transferen er ifølge klubben den dyreste i kvindeholdets historie, men beløbet offentliggøres ikke. Til gengæld fortæller formand Hanne Vestergaard, at en lokal fond dækker halvdelen af lønnen de første to år, så ungdomsholdene ikke skal skære af deres budget. Tickets til hjemmekampen mod Thisted er allerede udsolgt på langsidepladserne. Holm siger selv, at hun kender vinden på Nordjyllands baner fra ungdomslandskampe i Hjørring, og at hun gerne vil bo i byen frem for at pendle. Klubben leder stadig efter en lejlighed tæt på Stadion Allé.","Vendsyssel United has signed 22-year-old midfielder Maja Holm from a club academy in Aarhus. She joins on a three-year deal and could debut as soon as Saturday if she manages two training sessions with the team. Coach Søren Bjerre calls her an eight who can play the first ball into attack and still recover into the press. Holm scored eight goals and made eleven assists last season. The club says the transfer is the most expensive in the women's team's history, but the fee is not published. Chair Hanne Vestergaard says a local foundation will cover half the salary for the first two years so the youth teams do not have to cut their budget. Tickets for the home match against Thisted are already sold out on the long sides. Holm says she knows the wind on North Jutland pitches from youth internationals in Hjørring and would rather live in town than commute. The club is still looking for a flat close to Stadion Allé.","Vendsyssel United have signed 22-year-old midfielder Maja Holm on a three-year deal, the women's team's costliest transfer. A local foundation covers half her salary for two years. She could debut Saturday; tickets for Thisted are sold out on the long sides."
demo-004,"Hovedbiblioteket i Brønderslev lukker i otte uger fra 3. april, mens taget skiftes og den gamle mezzanin bliver til et stille studieområde. Borgere kan i perioden hente reserverede bøger i en container ved P-pladsen og bruge filialen i Hjallerup, som udvider åbningstiden med seks timer om ugen. Børnearrangementer flyttes til kulturhuset, så lørdagens højtlæsning fortsætter. Biblioteksleder Pernille Sørensen siger, at den største gene bliver de studerende, der bruger mezzaninen som læsesal op til eksamen. Derfor sættes 24 midlertidige læsepladser op i den tidligere udstillingsgang på rådhuset. Anlægsbudgettet er 4,7 millioner kroner. To millioner kommer fra en pulje til energieffektivisering, fordi det nye tag får solceller, der skal dække en tredjedel af husets strøm. Lokalhistorisk arkiv flyttes ikke. Det bliver pakket i støvtætte kasser på stedet, fordi en flytning ville være dyrere end at beskytte samlingen under stilladset. Genåbningen er planlagt til 29. maj med ekstra åbent hus om aftenen.","The main library in Brønderslev will close for eight weeks from 3 April while the roof is replaced and the old mezzanine becomes a quiet study area. During that period residents can collect reserved books from a container in the car park and use the Hjallerup branch, which is extending opening hours by six hours a week. Children's events move to the cultural centre so Saturday story time continues. Library director Pernille Sørensen says the biggest inconvenience will be students who use the mezzanine as a reading room before exams. Therefore 24 temporary reading seats will be set up in the former exhibition corridor at the town hall. The construction budget is 4.7 million kroner. Two million come from an energy-efficiency fund because the new roof will have solar panels meant to cover a third of the building's power. The local history archive will not be moved. It will be packed in dust-proof boxes on site because a move would cost more than protecting the collection under the scaffolding. Reopening is planned for 29 May with an extra evening open house.","Brønderslev's main library closes for eight weeks from 3 April for a new roof and a quiet mezzanine study space. Reserved books move to a car-park container; 24 temporary desks open at the town hall. Reopening is planned for 29 May."
demo-005,"Færgeselskabet KattegatRuten aflyser onsdagens morgensejlads fra Sæby til Göteborg, efter at en gearbox på M/S Vendelbo begyndte at overophede under tirsdagens sidste tur. De 86 passagerer kom i land uden problemer, men teknikere fra et værft i Frederikshavn skal skifte et leje, før skibet må sejle igen. Næste planlagte afgang er torsdag eftermiddag, hvis prøvesejladsen om formiddagen er godkendt. Passagerer med billetter til onsdag kan få pengene tilbage eller flyttes til en rute via Frederikshavn, som tager knap to timer længere. Direktør Lars Nedergaard understreger, at der ikke var olie i lænserne, og at kystredningstjenesten kun blev adviseret som rutine. Erhvervsorganisationen i Sæby ærgrer sig alligevel, fordi onsdag er den dag, mange svenske dagsturister kommer ind og handler i gågaden. Havnen sætter skilte op på svensk og dansk ved terminalen. En midlertidig kaffevogn holder åbent, indtil næste skib lægger til.","The ferry company KattegatRuten is cancelling Wednesday's morning sailing from Sæby to Gothenburg after a gearbox on M/S Vendelbo began to overheat on Tuesday's last trip. The 86 passengers landed without problems, but technicians from a yard in Frederikshavn must replace a bearing before the ship may sail again. The next planned departure is Thursday afternoon if the morning trial sailing is approved. Passengers with Wednesday tickets can get a refund or be moved to a route via Frederikshavn that takes almost two hours longer. Director Lars Nedergaard stresses that there was no oil in the bilges and that the coastal rescue service was only notified as routine. The business association in Sæby is still disappointed because Wednesday is the day many Swedish day visitors come in and shop on the high street. The harbour is putting up signs in Swedish and Danish at the terminal. A temporary coffee van will stay open until the next ship docks.","KattegatRuten is cancelling Wednesday's Sæby–Gothenburg morning ferry after a gearbox overheated on M/S Vendelbo. All 86 passengers landed safely; the next sailing is Thursday afternoon if a trial run passes. Refunds or a longer reroute via Frederikshavn are offered."
demo-006,"Eleverne på Strandskolen i Aabybro får fra august varm skolemad tre dage om ugen. Kommunalbestyrelsen vedtog onsdag at finansiere forsøget i to år med 1,8 millioner kroner. Maden tilberedes i køkkenet på naboskolen, som allerede har et produktionskøkken, og køres den ene kilometer i termokasser. Menuen skal have mindst to vegetariske dage og fiske-farsbrød om fredagen, når der landes torsk i Hanstholm. Forældrebestyrelsen havde bedt om fem dage, men økonomiudvalget ville først se, om spildet holder sig under ti procent. Skoleleder Anne Løkke siger, at 70 procent af eleverne allerede har tilmeldt sig, og at de øvrige kan medbringe madpakke som hidtil. Allergener markeres med farvekoder på skærmen i kantinen. En diætist fra sundhedsplejen gennemgår menuen hver måned. Hvis forsøget virker, vil kommunen tilbyde samme model til to skoler i Brovst og Kas.","Pupils at Strandskolen in Aabybro will get hot school meals three days a week from August. The municipal council voted on Wednesday to fund the two-year trial with 1.8 million kroner. The food is cooked in the neighbouring school's kitchen, which already has a production kitchen, and is driven the one kilometre in thermal boxes. The menu must include at least two vegetarian days and fish rissoles on Friday when cod is landed in Hanstholm. The parent board had asked for five days, but the finance committee first wants to see whether waste stays under ten percent. Head teacher Anne Løkke says 70 percent of pupils have already signed up and the rest can still bring a packed lunch. Allergens will be marked with colour codes on the canteen screen. A dietitian from the health service will review the menu each month. If the trial works, the municipality will offer the same model to two schools in Brovst and Kas.","Strandskolen in Aabybro will serve hot meals three days a week from August in a two-year, 1.8 million kroner trial. Food is cooked at the neighbouring school; the menu includes vegetarian days and Friday fish. If waste stays low, Brovst and Kas may get the same model."
demo-007,"Et konsortium bag seks nye vindmøller ved Tolne hegn har sendt den endelige VVM-redegørelse i otte ugers høring. Møllerne bliver 149 meter til vingespids og skal efter planen levere strøm svarende til 12.000 husstande fra vinteren 2027. Naboer i Tolne Stationsby har indsamlet 214 underskrifter imod projektet, primært på grund af støj i medvind og skyggekast over boldbanen. Udvikleren svarer, at møllerne stopper automatisk, når skyggekast overstiger det tilladte antal timer, og at der tilbydes værditabserstatning efter den gældende vejledning. Naturstyrelsen har bedt om en særskilt vurdering af flagermus, fordi hegnene er et kendt fourageringsområde. Hvis undersøgelsen viser træk i august, kan møllerne blive pålagt at holde stille i nattetimerne i den periode. Kommunen holder borgermøde i forsamlingshuset 12. oktober. Materialet kan læses på biblioteket og på kommunens høringsportal.","A consortium behind six new wind turbines at Tolne hegn has put the final environmental impact statement out for an eight-week consultation. The turbines will be 149 metres to the blade tip and are planned to supply power equal to 12,000 homes from winter 2027. Neighbours in Tolne Stationsby have collected 214 signatures against the project, mainly because of downwind noise and shadow flicker over the football pitch. The developer says the turbines stop automatically when flicker exceeds the allowed hours and that property-value compensation is offered under the current guidance. The Nature Agency has asked for a separate bat assessment because the hedgerows are a known foraging area. If the survey shows migration in August, the turbines may have to stand still at night in that period. The municipality is holding a public meeting in the village hall on 12 October. The material can be read at the library and on the municipal consultation portal.","Six 149-metre turbines at Tolne hegn enter an eight-week environmental consultation, aiming to power 12,000 homes from 2027. Neighbours collected 214 signatures over noise and flicker; a separate bat study was requested. A public meeting is set for 12 October."
demo-008,"Nordjyllands Kystmuseum åbner lørdag en særudstilling om sildefiskeriet i Skagen mellem 1880 og 1950. Udstillingen viser 40 genstande, som privatpersoner har lånt ud: garnnåle, lønbøger, et slidt olietøj og et fotoalbum fra en kutters sidste sæson. Kurator Emilie Nørgaard har også fået lov at vise en logbog, hvor skipperen i 1932 noterede både fangsten og vejret i samme sætning. En lydinstallation gengiver auktionsråbene fra den gamle fiskehal, optaget på bånd i 1971 og renset digitalt. Museet forventer skoleklasser fra hele Vendsyssel i uge 43, og der er booket to ekstra omvisere. Enheden er finansieret af en pulje til lokal kulturarv og af havnens erhvervsforening. Udstillingen varer til februar. Derefter vender genstandene tilbage til ejerne, bortset fra tre fotografier, som museet har fået lov at kopiere til arkivet.","The North Jutland Coastal Museum opens a special exhibition on Saturday about herring fishing in Skagen between 1880 and 1950. The show displays 40 objects lent by private people: netting needles, wage books, worn oilskins and a photo album from a cutter's last season. Curator Emilie Nørgaard has also been allowed to show a logbook in which the skipper in 1932 noted both the catch and the weather in the same sentence. A sound installation recreates the auction calls from the old fish hall, recorded on tape in 1971 and cleaned digitally. The museum expects school classes from all of Vendsyssel in week 43, and two extra guides have been booked. The exhibition is funded by a local heritage grant and the harbour business association. It runs until February. After that the objects return to their owners, except for three photographs the museum may copy for the archive.","The North Jutland Coastal Museum opens a herring-fishing exhibition on Skagen from 1880–1950, with 40 loaned objects and a 1932 logbook. A restored 1971 auction recording features; the show runs until February."
demo-009,"Gennemsnitlig ventetid til planlagt knæoperation på Regionshospitalet Nord er faldet fra 17 til 12 uger siden januar. Hospitalet har åbnet en lørdagsstue hver anden uge og flyttet en del af den tidlige genoptræning til kommunale centre i Hjørring og Frederikshavn. Ledende overlæge Karsten Holm advarer dog om, at tallet kan stige igen i november, når to speciallæger går på deltid. Regionen forsøger at rekruttere en ny speciallæge og har slået stillingen op på både dansk og svensk. Patientforeningen Knæ ind i livet kalder faldet en lettelse, men peger på, at ventetiden til første undersøgelse stadig er otte uger i nogle henvisninger. Sundhedsudvalget får en orientering 21. september. Indtil da beder hospitalet praktiserende læger om at markere særligt smerteplagede patienter tydeligere i henvisningen, så de kan få en tidligere tid.","Average waiting time for planned knee surgery at Regional Hospital North has fallen from 17 to 12 weeks since January. The hospital has opened a Saturday theatre every other week and moved some early rehabilitation to municipal centres in Hjørring and Frederikshavn. Lead consultant Karsten Holm warns the figure may rise again in November when two specialists go part-time. The region is trying to recruit a new specialist and has advertised the post in both Danish and Swedish. The patient association Knæ ind i livet calls the drop a relief but notes that the wait for a first examination is still eight weeks on some referrals. The health committee will be briefed on 21 September. Until then the hospital asks GPs to mark especially pain-affected patients more clearly on the referral so they can get an earlier slot.","Waiting time for planned knee surgery at Regional Hospital North has fallen from 17 to 12 weeks after Saturday theatres and municipal rehab. The figure may rise in November when two specialists go part-time. First-exam waits can still be eight weeks."
demo-010,"Havnemarkedet i Strandby slår dørene op hver lørdag i oktober med fisk, grønt fra lokale gartnerier og et telt til reparation af cykler. Arrangørerne forventer omkring 40 boder, hvilket er otte flere end sidste år. Ny på pladsen er et lille røgeri på hjul, der sælger varmrøget sild i avispapir, og en stand hvor børn kan lære at binde et simpelt garnstik. Havnefogeden har flyttet lastbilparkeringen 200 meter, så der bliver plads til markedet uden at spærre for kutterne. Musikken holdes nede på ét akustisk anlæg ved kajkanten efter klager sidste år fra beboerne i Havnegade. Overskuddet fra de fælles kaffekander går til jolleklubbens ungdomshold. Hvis stormvarsel rammer en lørdag, rykker markedet ind i den gamle filethal i stedet for at aflyse. Første marked er 4. oktober klokken 10.","The harbour market in Strandby opens every Saturday in October with fish, vegetables from local growers and a tent for bicycle repairs. Organisers expect about 40 stalls, eight more than last year. New on the square are a small smokehouse on wheels selling hot-smoked herring in newspaper and a stand where children can learn a simple netting knot. The harbour master has moved lorry parking 200 metres so the market has room without blocking the cutters. Music is limited to one acoustic setup on the quayside after complaints last year from residents in Havnegade. Proceeds from the shared coffee pots go to the dinghy club's youth team. If a storm warning hits a Saturday, the market moves into the old filleting hall instead of cancelling. The first market is 4 October at 10:00.","Strandby's October Saturday harbour market grows to about 40 stalls, including a mobile smokehouse and a children's knot stand. Lorry parking is moved 200 metres; storm Saturdays relocate to the old filleting hall. First market: 4 October at 10:00."
