id,body,translated,summary
da-metro-sydhavn,"Københavns Metro åbner efter planen tre nye stationer i Sydhavn i oktober, og kommunens trafikafdeling forventer, at op mod 18.000 passagerer vil bruge strækningen hver hverdag. Anlægsarbejdet har varet fire år og har flere gange været forsinket af fund af gamle havnekonstruktioner under Sluseholmen. Borgmesteren kalder udvidelsen et løft for bydelen, som i årevis har manglet hurtig forbindelse til Indre By og lufthavnen. Naboer er mere forbeholdne. En beboerforening på Teglholmen peger på, at byggepladserne har lukket cykelstier og skubbet busser ud på omveje. Metroen lover, at de sidste arbejdshegn bliver taget ned i november, og at et nyt byrum med træer og bænke åbner ved Mozarts Plads. Trafikforskere fra DTU advarer dog om, at kapaciteten i de eksisterende tog allerede er presset i myldretiden. Hvis de nye stationer trækker flere pendlere ind i nettet uden ekstra tog, risikerer man bare at flytte trængslen fra gaden og ned i tunnellerne. Kommunen svarer, at der er bestilt flere vogne, men at de først kan indsættes næste forår.","Copenhagen Metro is scheduled to open three new stations in Sydhavn in October, and the city's traffic department expects up to 18,000 passengers to use the line each weekday. Construction has lasted four years and was delayed several times by old harbour structures under Sluseholmen. The mayor calls the extension a boost for a district that has long lacked a fast link to the city centre and the airport. Neighbours are more cautious. A residents' group in Teglholmen says worksites have closed cycle lanes and pushed buses onto detours. Metro management promises the last fences will come down in November and that a new public space with trees and benches will open at Mozarts Plads. DTU traffic researchers warn that existing trains are already crowded in the rush hour. If the new stations pull more commuters into the network without extra trains, congestion may simply move from the street into the tunnels. The city says more carriages have been ordered, but they cannot enter service until next spring.","Copenhagen Metro will open three Sydhavn stations in October for up to 18,000 weekday riders, but DTU researchers warn extra carriages will not arrive until spring, so rush-hour crowding may move underground."
da-aarhus-klima,"Aarhus Universitet åbner et nyt klimalaboratorium i Katrinebjerg, hvor forskere vil måle, hvordan danske byer klarer hedebølger, skybrud og længere tørkeperioder. Laboratoriet kombinerer en fysisk model af et boligkvarter med sensorer i træer, tagrender og fiktive kældre. Målet er at teste grønne tage, permeable belægninger og midlertidige regnvandsbassiner, før kommunerne bruger millioner på anlæg i den virkelige by. Aarhus Kommune har allerede sagt ja til at levere data fra tre udsatte kvarterer. Rektor kalder centret et svar på, at klimatilpasning ikke længere kan vente på tiårige planer. Kritikere blandt lokale håndværkere spørger, om universitetet igen bygger et prestigemiljø, som praktikere ude i marken aldrig får adgang til. Forskerne svarer, at laboratoriet får åbne værkstedsdage, og at små virksomheder kan booke tid til at afprøve materialer. Første forsøg handler om, hvorvidt danske birketræer langs cykelstier kan sænke temperaturen nok til at gøre en forskel i juli.","Aarhus University is opening a new climate laboratory in Katrinebjerg, where researchers will measure how Danish cities handle heatwaves, cloudbursts and longer droughts. The lab combines a physical model of a housing area with sensors in trees, gutters and mock basements. The aim is to test green roofs, permeable paving and temporary stormwater basins before municipalities spend millions on real streets. Aarhus Municipality has already agreed to supply data from three vulnerable neighbourhoods. The rector calls the centre an answer to the fact that climate adaptation can no longer wait for decade-long plans. Local tradespeople ask whether the university is again building a prestige facility that practitioners never get to use. Researchers say the lab will have open workshop days and that small firms can book time to test materials. The first experiment asks whether Danish birch trees along cycle paths can lower temperatures enough to matter in July.","Aarhus University is opening a climate lab in Katrinebjerg to test green roofs, stormwater basins and street trees with city data, while local tradespeople demand real access beyond a prestige facility."
da-vestkysten-torsk,"Fiskere på Vestkysten rapporterer det dårligste torskeforår i et årti. I Hvide Sande, Thorsminde og Thyborøn fortæller skippere, at garnene kommer op med krabber, fladfisk og tang, men næsten uden torsk af salgbar størrelse. DTU Aqua peger på varmere bundvand og en forskydning i de byttedyr, torsken jager. En del af flåden har allerede skiftet over til jomfruhummer og sild, men de mindre kuttere har svært ved at finansiere nyt udstyr. Kommunerne langs kysten frygter, at endnu en sæson med tomme kasser vil lukke sidste fiskeauktion i området. Miljøministeriet vil ikke love nye kvoter, men inviterer til et rundbordsmøde i Esbjerg. Biologer advarer mod at se et enkelt dårligt forår som bevis for, at bestanden er kollapset. De vil have tre års sammenhængende målinger, før de ændrer rådgivningen. Fiskerne svarer, at de ikke har tre år. Flere unge mandskaber taler allerede om at søge arbejde på havvindmøllerne i Nordsøen, hvor lønnen er mere stabil.","Fishers on the west coast report the worst cod spring in a decade. In Hvide Sande, Thorsminde and Thyborøn, skippers say nets come up with crabs, flatfish and seaweed but almost no market-size cod. DTU Aqua points to warmer bottom water and a shift in the prey that cod hunt. Part of the fleet has already moved to Norway lobster and herring, but smaller cutters struggle to finance new gear. Coastal municipalities fear another season of empty boxes will close the last fish auction in the area. The environment ministry will not promise new quotas, but it has invited a round table in Esbjerg. Biologists warn against treating one poor spring as proof that the stock has collapsed. They want three consecutive years of measurements before changing advice. Fishers reply that they do not have three years. Several younger crews already talk about taking jobs on North Sea offshore wind farms, where pay is more stable.","West-coast fishers report the worst cod spring in a decade as warmer water empties nets, while biologists want three years of data and crews look to offshore wind jobs."
da-boligskat,"Folketinget bruger denne uge på en ny model for boligskat, som skal træde i kraft om to år. Regeringen vil sænke skatten for ejerlejligheder i de største byer og til gengæld hæve grundskylden i villaområder, hvor vurderingerne er steget mest. Oppositionen kalder det et skjulte angreb på parcelhuskvartererne uden for hovedstaden. Boligejere i Gentofte og Aarhus Vest har allerede sendt høringssvar, der advarer om, at pensionister kan blive tvunget til at sælge, hvis likviditeten ikke følger med papirvurderingerne. Økonomer fra Nationalbanken siger, at den nuværende model er skæv, fordi den stadig bygger på vurderinger fra før de seneste prisstigninger. De bakker op om en mere løbende justering, men advarer mod at love, at ingen vil betale mere. Skatteministeren gentager, at der kommer en stigningsbegrænsning, så skatten ikke kan hoppe mere end et fast loft om året. Boligorganisationerne spørger, hvem der så betaler differencen, hvis kommunerne mister provenu. Det spørgsmål er ikke afklaret inden afstemningen.","Parliament is spending this week on a new property-tax model that would take effect in two years. The government wants to lower tax on owner-occupied flats in the largest cities and raise land tax in villa areas where valuations have risen most. The opposition calls it a hidden attack on detached-house neighbourhoods outside the capital. Homeowners in Gentofte and western Aarhus have already filed consultation replies warning that pensioners may be forced to sell if cash flow does not keep up with paper valuations. Nationalbank economists say the current model is skewed because it still uses assessments from before the latest price jumps. They support a more frequent adjustment but warn against promising that nobody will pay more. The tax minister repeats that a cap will stop the tax from jumping more than a fixed ceiling each year. Housing organisations ask who then covers the gap if municipalities lose revenue. That question is not settled before the vote.","Parliament is debating a property-tax shift that cuts city flat taxes and raises villa land tax, with a yearly cap still leaving municipal revenue gaps unresolved."
da-odense-traeer,"Odense Kommune planter ti tusind træer langs nye cykelstier, skoleveje og ved de betonpladser, der blev anlagt i 1970erne. Projektet er en del af kommunens plan om at sænke temperaturen i centrum og holde på regnvand, når åerne løber over. Gartnere starter i Bolbro og bevæger sig østover gennem Hunderup og Midtbyen. Beboere er overvejende positive, men flere butiksindehavere frygter, at gravearbejde i højsæsonen vil skære omsætningen. Kommunen svarer med en kompensationsordning og lover, at de mest travle strøg kun graves op om natten. Biologer har udvalgt arter, der kan tåle tørke, salt og den kompakte jord under fortovene: avnbøg, røn og enkelte egetræer, hvor der er plads til rødder. Skolerne i området får undervisningsforløb, hvor elever måler skygge og insekter før og efter plantningen. Hvis træerne overlever de første tre somre, vil kommunen udvide planen til forstæderne. Det er den usikre del. Tidligere bytræer er døet, fordi de fik for lidt vand det første år.","Odense Municipality is planting ten thousand trees along new cycle paths, school routes and the concrete squares laid out in the 1970s. The project is part of a plan to cool the city centre and hold rain when the streams overflow. Gardeners start in Bolbro and move east through Hunderup and the inner city. Residents are mostly positive, but several shopkeepers fear that digging in the high season will cut sales. The municipality answers with a compensation scheme and promises that the busiest streets will only be opened at night. Biologists chose species that can tolerate drought, salt and compacted soil under the pavements: hornbeam, rowan and a few oaks where there is room for roots. Local schools will run courses in which pupils measure shade and insects before and after planting. If the trees survive the first three summers, the plan will expand to the suburbs. That is the uncertain part. Earlier street trees died because they received too little water in the first year.","Odense is planting ten thousand drought-tolerant street trees to cool the centre and hold rain, starting in Bolbro, with shop compensation and a three-summer survival test before suburban expansion."
da-nordjylland-faerge,"En ny hurtigfærge mellem Frederikshavn og Göteborg skal efter planen sejle tre gange dagligt fra næste sommer. Rederiet bag ruten siger, at overfarten kan klares på under tre timer og dermed konkurrere med både Kattegatbroen og flyene til Landvetter. Nordjyske erhvervsorganisationer jubler, fordi de ser en kortere vej til svenske kunder og arbejdskraft. Havnearbejderne i Frederikshavn er mere skeptiske. De husker tidligere ruter, der blev lukket, når brændstofpriserne steg, og efterlader tomme terminaler. Kommunen har alligevel lovet at ruste kajen og busforbindelsen til stationen. Miljøorganisationer peger på, at en dieselrevet færge vil øge udledningen i et farvand, der allerede er presset. Rederiet svarer, at skibet bygges, så det senere kan ombygges til metanol. Indtil videre er der ikke skrevet kontrakt om brændstoffet. Trafikstyrelsen kræver en revideret risikovurdering, før den endelige tilladelse udstedes, især fordi ruten krydser tæt skibstrafik ud for Læsø.","A new fast ferry between Frederikshavn and Gothenburg is planned to sail three times a day from next summer. The operator says the crossing can be done in under three hours and would compete with both the Kattegat bridge and flights to Landvetter. North Jutland business groups welcome a shorter path to Swedish customers and labour. Dock workers in Frederikshavn are more sceptical. They remember earlier routes that closed when fuel prices rose and left empty terminals. The municipality has still promised to upgrade the quay and the bus link to the station. Environmental groups note that a diesel ferry would raise emissions in waters that are already under pressure. The operator says the ship is being built so it can later be converted to methanol. No fuel contract has been signed yet. The Danish Transport Authority wants a revised risk assessment before the final permit, especially because the route crosses dense traffic off Læsø.","A planned Frederikshavn–Gothenburg fast ferry would run three daily sailings under three hours, but diesel emissions, missing fuel contracts and a Læsø risk review still block the permit."
da-sjaelland-hospital,"Region Sjælland åbner en ny akutafdeling i Køge, som skal aflaste både Roskilde og Nykøbing Falster. Byggeriet har kostet mere end budgettet, primært fordi man undervejs skiftede it-system og skulle føre ekstra ventilation til isolationsstuer. Læger og sygeplejersker, der har været med i indflytningen, siger, at de nye stuer er lysere og bedre til at adskille infektionspatienter. De peger samtidig på, at vagtplanen stadig har huller i aften- og nattetimerne. Patientforeninger frygter, at længere kørsel for borgere fra Sydsjælland vil forsinke behandlingen af blodpropper og traumer. Regionen svarer, at ambulanceberedskabet er udvidet, og at en lægehelikopter kan tilkaldes fra Ringsted. Første uge efter åbningen viste, at ventetiden på skadestuen faldt i Køge, men steg i Næstved, fordi flere blev sendt videre. Direktionen kalder det en indkøringsperiode. Folketingets sundhedsudvalg har bedt om tal for de første 90 dage, før der bevilges penge til næste etape.","Region Zealand is opening a new emergency department in Køge that is meant to relieve both Roskilde and Nykøbing Falster. The building cost more than the budget, mainly because the IT system was changed mid-project and extra ventilation had to be added for isolation rooms. Doctors and nurses who moved in say the new rooms are brighter and better at separating infectious patients. They also note that the roster still has gaps in the evening and at night. Patient groups fear that longer travel for people from south Zealand will delay treatment of blood clots and trauma. The region says the ambulance service has been expanded and that a doctor helicopter can be called from Ringsted. The first week after opening showed waiting times fell in Køge but rose in Næstved because more patients were transferred. Management calls it a running-in period. The parliamentary health committee has asked for figures from the first 90 days before funding the next phase.","Region Zealand opened a over-budget Køge emergency ward to relieve Roskilde and Nykøbing, but night roster gaps and rising Næstved waits leave the first 90 days under political review."
da-bornholm-energi,"Bornholm rykker tættere på at blive et energiknudepunkt i Østersøen. Energinet har offentliggjort den foreløbige linjeføring for det søkabel, der skal forbinde øen med både Sjælland og en kommende havvindmøllepark. Kommunalbestyrelsen i Rønne bakker op, men kræver, at en større del af anlægsarbejdet går til lokale virksomheder, og at der kommer en synlig kompensation til de kystbyer, der får transformerstationer tæt på sommerhusene. Fiskere fra Nexø advarer om, at kabeltracéet skærer gennem områder, hvor de sætter garn om foråret. Energinet lover dialog og midlertidige zoner, men vil ikke flytte linjen væk fra den korteste rute. I København ser klimaordførere projektet som et afgørende skridt, hvis Danmark skal eksportere strøm østpå. Kritikken går på tempoet. Flere høringsfrister er korte, og beboere siger, at de ikke kan nå at læse de tekniske bilag. Et offentligt møde i Allinge blev så overtegnet, at kommunen måtte flytte det til idrætshallen.","Bornholm is moving closer to becoming an energy hub in the Baltic Sea. Energinet has published the preliminary alignment for the subsea cable that will connect the island to Zealand and a future offshore wind farm. The municipal council in Rønne supports the plan but wants more of the construction work to go to local firms and visible compensation for coastal towns that get transformer stations near summer houses. Fishers from Nexø warn that the cable corridor cuts through areas where they set nets in spring. Energinet promises talks and temporary zones but will not move the line off the shortest route. In Copenhagen, climate spokespersons see the project as a key step if Denmark is to export power eastward. The criticism is about pace. Several consultation deadlines are short, and residents say they cannot finish the technical annexes. A public meeting in Allinge was so oversubscribed that the municipality had to move it to the sports hall.","Energinet published a Bornholm–Zealand subsea cable route toward a Baltic energy hub, drawing local-job demands, fisher warnings and complaints about rushed consultation."
da-esbjerg-havvind,"Esbjerg Havn har offentliggjort tal, der viser, at mere end halvdelen af de havvindmøller, der blev lastet i Nordsøen sidste år, gik gennem kajerne i byen. Havnedirektøren kalder det et bevis på, at den gamle fiskeri- og oliehavn har skiftet spor. Samtidig advarer fagforeningerne om, at mange af de nye job er projektansættelser, som forsvinder, når en park er sejlet ud. Kommunen vil derfor have staten til at medfinansiere en permanent uddannelsescentrum for montører og elektrikere. Virksomhederne i området bakker op, men vil have kortere sagsbehandling, når de skal udvide hallerne. Naboer til havnen klager over støj om natten, når vinger læsses. Havnen svarer med en ny støjplan og lover at flytte de mest støjende løft væk fra boligkanten. Økonomer påpeger, at Esbjergs succes også er sårbar: hvis nabolande bygger deres egne udskibningshavne, kan aktiviteten falde lige så hurtigt, som den er steget.","The Port of Esbjerg has released figures showing that more than half of the offshore wind turbines loaded in the North Sea last year went across the city's quays. The port director calls it proof that the old fishing and oil harbour has changed course. Unions warn that many of the new jobs are project contracts that disappear once a farm has sailed out. The municipality therefore wants the state to co-fund a permanent training centre for fitters and electricians. Local companies support that but want faster permits when they expand halls. Neighbours complain about night-time noise when blades are loaded. The port answers with a new noise plan and a promise to move the loudest lifts away from the housing edge. Economists note that Esbjerg's success is also fragile: if neighbouring countries build their own load-out ports, activity could fall as quickly as it rose.","Esbjerg handled more than half of last year's North Sea wind load-outs, but unions want permanent training jobs and economists warn rival ports could erase the boom."
da-aalborg-studiebolig,"Aalborg Universitet og kommunen åbner i fællesskab 420 nye studieboliger tæt på campus Øst. Boligerne er små, men har fælles værksteder, cykelkælder og et tag med solceller. Rektor siger, at ventelisten til kollegier har været urimelig lang, især for internationale studerende, der ikke kender det private udlejningsmarked. Studenterorganisationen roser antallet, men kritiserer huslejen, som de mener ligger for tæt på det private niveau. Byrådet har givet en kommunal garanti, så byggeriet kunne låne billigere. Til gengæld skal en del af boligerne holdes åbne for praktikantordninger med byens virksomheder. Naboerne i Vejgaard er delte. Nogle ser flere unge som liv i gaden, andre frygter flere fester og knap parkering. Politiet har bedt om, at der indrettes et værested i stuen, så konflikter kan tages i opløbet. De første beboere flytter ind til semesterstart, og universitetet vil offentliggøre en evaluering efter det første studieår.","Aalborg University and the municipality are jointly opening 420 new student dwellings near Campus East. The flats are small but share workshops, a bike basement and a roof with solar panels. The rector says the waiting list for halls has been unreasonably long, especially for international students who do not know the private rental market. The student union welcomes the number but criticises the rent, which it says sits too close to private levels. The city council issued a municipal guarantee so the project could borrow more cheaply. In return, some units must stay open for internship schemes with local firms. Neighbours in Vejgaard are split. Some see more young people as life in the street; others fear more parties and less parking. Police have asked for a ground-floor common room so conflicts can be handled early. The first residents move in at the start of term, and the university will publish an evaluation after the first academic year.","Aalborg is opening 420 campus student homes with a city loan guarantee, while students criticise near-private rents and Vejgaard neighbours split over noise and parking."
