id,article text
demo-001,"Hjørring Kommune åbner mandag den nye cykelsti mellem Lindholmparken og stationen efter tre års anlæg. Borgmester Ida Kragh sagde ved indvielsen, at stien skal gøre det lettere for pendlere at vælge cyklen om vinteren, fordi belysningen er ført hele vejen og sneen skal ryddes før klokken syv på hverdage. Den fire kilometer lange strækning krydser to mindre veje i niveau og får hævede felter, så bilerne sænker farten. Lokaludvalget i Lindholm havde ellers frygtet, at den gamle allé med asketræer ville blive fældet, men 28 af 31 træer står stadig. De tre fældede træer erstattes af nye asketræer til efteråret. Cykelorganisationen Nordkysten kalder projektet et løft, men peger på, at der stadig mangler en sikker passage ved Fabriksvej, hvor lastbiler svinger ind til erhvervshavnen. Kommunen svarer, at den passage kommer i næste års budget, hvis staten medfinansierer. I første uge kører en cykelambassadør på stien hver morgen og uddeler lygter til dem, der cykler uden lys. Forventningen er, at omkring 900 daglige ture flytter fra bil til cykel, når vinteren er ovre. Tallet bygger på tællinger fra 2022 på den gamle markvej, som stien erstatter."
demo-002,"Et kraftigt lavtryk over Nordsøen sender mandag aften slud og kastevinde på op til 28 meter i sekundet ind over Vendsyssel. Beredskabet i Frederikshavn Kommune har varslet tagsten, løse stilladser og campingvogne, der ikke er surret fast. Færgen til Læsø aflyser to aftensejladser, fordi bølgerne ved havnemundingen allerede søndag eftermiddag ramte fire meter. I Skagen holder fiskerne bådene ved kaj. Formand for fiskeriforeningen Torben Mikkelsen siger, at det ikke kan betale sig at jage jomfruhummer, når vinden ligger på den kant. Energinet følger de kystnære 150 kV-linjer, efter at et træ ramte en ledning ved Ålbæk i sidste storm og efterlod 1.200 husstande uden strøm i tre timer. Kommunen åbner et midlertidigt varmestue i Idrætscenter Nord fra klokken 18, hvis strømmen går. Folk opfordres til at lade telefoner og powerbanks op i dagtimerne. DMI fastholder varslet indtil tirsdag formiddag, hvor vinden drejer og aftager. Skolerne holder åbent, men udeundervisning og idræt på udebaner er aflyst mandag."
demo-003,"Vendsyssel United har skrevet kontrakt med den 22-årige midtbanespiller Maja Holm fra et klubakademi i Aarhus. Hun kommer til klubben på en treårig aftale og kan debutere allerede lørdag, hvis hun når at træne med holdet to gange. Træner Søren Bjerre kalder hende en otte, der kan slå den første bold i angrebet og stadig nå tilbage i presset. Holm scorede otte mål og lavede elleve assists i den netop overståede sæson. Transferen er ifølge klubben den dyreste i kvindeholdets historie, men beløbet offentliggøres ikke. Til gengæld fortæller formand Hanne Vestergaard, at en lokal fond dækker halvdelen af lønnen de første to år, så ungdomsholdene ikke skal skære af deres budget. Tickets til hjemmekampen mod Thisted er allerede udsolgt på langsidepladserne. Holm siger selv, at hun kender vinden på Nordjyllands baner fra ungdomslandskampe i Hjørring, og at hun gerne vil bo i byen frem for at pendle. Klubben leder stadig efter en lejlighed tæt på Stadion Allé."
demo-004,"Hovedbiblioteket i Brønderslev lukker i otte uger fra 3. april, mens taget skiftes og den gamle mezzanin bliver til et stille studieområde. Borgere kan i perioden hente reserverede bøger i en container ved P-pladsen og bruge filialen i Hjallerup, som udvider åbningstiden med seks timer om ugen. Børnearrangementer flyttes til kulturhuset, så lørdagens højtlæsning fortsætter. Biblioteksleder Pernille Sørensen siger, at den største gene bliver de studerende, der bruger mezzaninen som læsesal op til eksamen. Derfor sættes 24 midlertidige læsepladser op i den tidligere udstillingsgang på rådhuset. Anlægsbudgettet er 4,7 millioner kroner. To millioner kommer fra en pulje til energieffektivisering, fordi det nye tag får solceller, der skal dække en tredjedel af husets strøm. Lokalhistorisk arkiv flyttes ikke. Det bliver pakket i støvtætte kasser på stedet, fordi en flytning ville være dyrere end at beskytte samlingen under stilladset. Genåbningen er planlagt til 29. maj med ekstra åbent hus om aftenen."
demo-005,"Færgeselskabet KattegatRuten aflyser onsdagens morgensejlads fra Sæby til Göteborg, efter at en gearbox på M/S Vendelbo begyndte at overophede under tirsdagens sidste tur. De 86 passagerer kom i land uden problemer, men teknikere fra et værft i Frederikshavn skal skifte et leje, før skibet må sejle igen. Næste planlagte afgang er torsdag eftermiddag, hvis prøvesejladsen om formiddagen er godkendt. Passagerer med billetter til onsdag kan få pengene tilbage eller flyttes til en rute via Frederikshavn, som tager knap to timer længere. Direktør Lars Nedergaard understreger, at der ikke var olie i lænserne, og at kystredningstjenesten kun blev adviseret som rutine. Erhvervsorganisationen i Sæby ærgrer sig alligevel, fordi onsdag er den dag, mange svenske dagsturister kommer ind og handler i gågaden. Havnen sætter skilte op på svensk og dansk ved terminalen. En midlertidig kaffevogn holder åbent, indtil næste skib lægger til."
demo-006,"Eleverne på Strandskolen i Aabybro får fra august varm skolemad tre dage om ugen. Kommunalbestyrelsen vedtog onsdag at finansiere forsøget i to år med 1,8 millioner kroner. Maden tilberedes i køkkenet på naboskolen, som allerede har et produktionskøkken, og køres den ene kilometer i termokasser. Menuen skal have mindst to vegetariske dage og fiske-farsbrød om fredagen, når der landes torsk i Hanstholm. Forældrebestyrelsen havde bedt om fem dage, men økonomiudvalget ville først se, om spildet holder sig under ti procent. Skoleleder Anne Løkke siger, at 70 procent af eleverne allerede har tilmeldt sig, og at de øvrige kan medbringe madpakke som hidtil. Allergener markeres med farvekoder på skærmen i kantinen. En diætist fra sundhedsplejen gennemgår menuen hver måned. Hvis forsøget virker, vil kommunen tilbyde samme model til to skoler i Brovst og Kas."
demo-007,"Et konsortium bag seks nye vindmøller ved Tolne hegn har sendt den endelige VVM-redegørelse i otte ugers høring. Møllerne bliver 149 meter til vingespids og skal efter planen levere strøm svarende til 12.000 husstande fra vinteren 2027. Naboer i Tolne Stationsby har indsamlet 214 underskrifter imod projektet, primært på grund af støj i medvind og skyggekast over boldbanen. Udvikleren svarer, at møllerne stopper automatisk, når skyggekast overstiger det tilladte antal timer, og at der tilbydes værditabserstatning efter den gældende vejledning. Naturstyrelsen har bedt om en særskilt vurdering af flagermus, fordi hegnene er et kendt fourageringsområde. Hvis undersøgelsen viser træk i august, kan møllerne blive pålagt at holde stille i nattetimerne i den periode. Kommunen holder borgermøde i forsamlingshuset 12. oktober. Materialet kan læses på biblioteket og på kommunens høringsportal."
demo-008,"Nordjyllands Kystmuseum åbner lørdag en særudstilling om sildefiskeriet i Skagen mellem 1880 og 1950. Udstillingen viser 40 genstande, som privatpersoner har lånt ud: garnnåle, lønbøger, et slidt olietøj og et fotoalbum fra en kutters sidste sæson. Kurator Emilie Nørgaard har også fået lov at vise en logbog, hvor skipperen i 1932 noterede både fangsten og vejret i samme sætning. En lydinstallation gengiver auktionsråbene fra den gamle fiskehal, optaget på bånd i 1971 og renset digitalt. Museet forventer skoleklasser fra hele Vendsyssel i uge 43, og der er booket to ekstra omvisere. Enheden er finansieret af en pulje til lokal kulturarv og af havnens erhvervsforening. Udstillingen varer til februar. Derefter vender genstandene tilbage til ejerne, bortset fra tre fotografier, som museet har fået lov at kopiere til arkivet."
demo-009,"Gennemsnitlig ventetid til planlagt knæoperation på Regionshospitalet Nord er faldet fra 17 til 12 uger siden januar. Hospitalet har åbnet en lørdagsstue hver anden uge og flyttet en del af den tidlige genoptræning til kommunale centre i Hjørring og Frederikshavn. Ledende overlæge Karsten Holm advarer dog om, at tallet kan stige igen i november, når to speciallæger går på deltid. Regionen forsøger at rekruttere en ny speciallæge og har slået stillingen op på både dansk og svensk. Patientforeningen Knæ ind i livet kalder faldet en lettelse, men peger på, at ventetiden til første undersøgelse stadig er otte uger i nogle henvisninger. Sundhedsudvalget får en orientering 21. september. Indtil da beder hospitalet praktiserende læger om at markere særligt smerteplagede patienter tydeligere i henvisningen, så de kan få en tidligere tid."
demo-010,"Havnemarkedet i Strandby slår dørene op hver lørdag i oktober med fisk, grønt fra lokale gartnerier og et telt til reparation af cykler. Arrangørerne forventer omkring 40 boder, hvilket er otte flere end sidste år. Ny på pladsen er et lille røgeri på hjul, der sælger varmrøget sild i avispapir, og en stand hvor børn kan lære at binde et simpelt garnstik. Havnefogeden har flyttet lastbilparkeringen 200 meter, så der bliver plads til markedet uden at spærre for kutterne. Musikken holdes nede på ét akustisk anlæg ved kajkanten efter klager sidste år fra beboerne i Havnegade. Overskuddet fra de fælles kaffekander går til jolleklubbens ungdomshold. Hvis stormvarsel rammer en lørdag, rykker markedet ind i den gamle filethal i stedet for at aflyse. Første marked er 4. oktober klokken 10."
